deal_id,creator_id,brand,niche,platform,content_format,follower_count,follower_tier,engagement_rate,offered_rate_usd,market_rate_usd,offer_vs_market_pct,negotiated_rate_usd,usage_rights_included,usage_rights_fee_usd,exclusivity_months,exclusivity_fee_usd,total_deal_value_usd,payment_terms_days,kill_fee_included,revision_rounds_allowed,deal_date,status,used_ai_benchmark,rate_recovered_usd,offer_percentile,is_below_market,market_gap_usd
DEA00018,CRE0191,Headspace,Language Learning,Substack,Integration,59650,Micro,0.5464,2337.32,3750.64,-37.7,2843.2,False,0.0,6,1421.6,4264.8,30,False,5,2026-01-08,Completed,False,505.88,0.857,True,1413.32
DEA00019,CRE0560,Robinhood,Parenting & Family,TikTok,Dedicated Video,50209,Micro,0.035,1198.01,1466.49,-18.3,1315.81,True,506.36,2,219.3,2041.47,30,True,2,2025-10-20,Completed,False,117.8,1.0,True,268.48
DEA00020,CRE0277,Noom,Beauty & Fashion,Twitter/X,Dedicated Video,3028062,Mega,0.0197,51728.58,80338.1,-35.6,53485.89,False,0.0,2,8914.31,62400.2,30,False,Unlimited,2025-08-11,Completed,False,1757.31,1.0,True,28609.52
DEA00021,CRE0102,Audible,Food & Cooking,YouTube,Newsletter,153533,Mid,0.0565,2402.92,3105.75,-22.6,3106.65,True,1080.01,0,0.0,4186.66,90,True,3,2026-02-08,Negotiating,True,703.73,0.889,True,702.83
DEA00022,CRE0278,Morning Brew,Science & Space,Twitter/X,Dedicated Video,633661,Macro,0.0319,16118.51,20885.23,-22.8,16335.97,True,5755.13,0,0.0,22091.1,90,False,Unlimited,2025-09-24,Completed,False,217.46,1.0,True,4766.72
DEA00023,CRE0141,Asana,Home Decor & Interior Design,Instagram,Instagram Post,38460,Micro,0.0343,134.17,435.03,-69.2,141.64,True,54.58,12,141.64,337.86,30,False,5,2025-05-12,Completed,False,7.47,0.222,True,300.86
DEA00024,CRE0139,Public,Science & Space,Substack,Reel,336782,Mid,0.539,19940.67,23962.66,-16.8,23781.49,False,0.0,3,5945.37,29726.86,90,True,1,2025-08-26,Negotiating,True,3840.82,0.833,True,4021.99
DEA00025,CRE0440,ExpressVPN,Business & Entrepreneurship,Twitter/X,Story Series,61383,Micro,0.008,369.3,658.08,-43.9,477.92,False,0.0,12,477.92,955.84,30,True,1,2025-11-23,Completed,True,108.62,0.25,True,288.78
DEA00026,CRE0253,Squarespace,Science & Space,LinkedIn,Story Series,59045,Micro,0.0259,395.69,663.14,-40.3,396.64,True,138.41,0,0.0,535.05,30,True,2,2025-07-23,Negotiating,False,0.95,0.125,True,267.45
DEA00027,CRE0166,Morning Brew,Education & Online Courses,Instagram,Integration,410726,Mid,0.056,3862.37,9349.16,-58.7,5915.16,False,0.0,1,492.93,6408.09,60,False,5,2026-01-19,Completed,False,2052.79,0.917,True,5486.79
DEA00028,CRE0368,Wix,Business & Entrepreneurship,Substack,Reel,290828,Mid,0.3512,5977.41,18207.32,-67.2,7289.63,True,2605.06,0,0.0,9894.69,15,True,5,2025-04-15,Completed,True,1312.22,0.333,True,12229.91
DEA00029,CRE0110,Headspace,Science & Space,YouTube,Story Series,127692,Mid,0.043,882.17,1586.79,-44.4,914.19,False,0.0,1,76.18,990.37,30,True,5,2025-12-14,In Progress,False,32.02,0.083,True,704.62
DEA00030,CRE0442,Blue Apron,Photography & Videography,Substack,Instagram Post,387530,Mid,0.2976,7182.98,11647.02,-38.3,10532.35,True,3569.45,0,0.0,14101.8,90,True,2,2025-06-11,Completed,True,3349.37,0.333,True,4464.04
DEA00031,CRE0044,LastPass,Business & Entrepreneurship,Twitter/X,Dedicated Video,50020,Micro,0.0249,1434.06,1969.73,-27.2,1557.39,False,0.0,12,1557.39,3114.78,15,True,Unlimited,2025-07-04,Negotiating,True,123.33,0.625,True,535.67
DEA00032,CRE0044,NordVPN,Gaming & Esports,YouTube,Reel,7747,Nano,0.0396,108.04,134.41,-19.6,141.13,False,0.0,3,35.28,176.41,15,True,5,2026-02-14,Completed,True,33.09,1.0,True,26.37
DEA00033,CRE0227,LastPass,Education & Online Courses,Instagram,Story Series,980682,Macro,0.0511,8004.87,12588.64,-36.4,9937.51,False,0.0,2,1656.25,11593.76,60,True,5,2025-09-02,In Progress,False,1932.64,0.75,True,4583.77
DEA00034,CRE0034,ExpressVPN,Business & Entrepreneurship,LinkedIn,Reel,482741,Mid,0.026,3749.4,8717.95,-57.0,5473.8,True,2250.88,0,0.0,7724.68,45,True,2,2025-10-31,Completed,True,1724.4,0.6,True,4968.55
DEA00035,CRE0302,Betterment,Gaming & Esports,LinkedIn,Story Series,96816,Micro,0.0054,664.38,906.85,-26.7,881.04,False,0.0,6,440.52,1321.56,30,False,3,2025-11-23,In Progress,False,216.66,0.667,True,242.47
DEA00036,CRE0067,Athletic Greens,Education & Online Courses,Substack,Instagram Post,440706,Mid,0.2947,7107.95,15253.08,-53.4,10532.75,False,0.0,0,0.0,10532.75,30,False,2,2025-12-01,Completed,True,3424.8,0.333,True,8145.13
DEA00037,CRE0002,Athletic Greens,Personal Development,Instagram,Reel,84226,Micro,0.0413,482.4,1283.52,-62.4,735.01,True,276.51,0,0.0,1011.52,30,True,5,2025-07-08,Negotiating,False,252.61,0.714,True,801.12
DEA00038,CRE0312,NordVPN,Home Decor & Interior Design,Substack,Reel,320542,Mid,0.5063,9973.44,16243.62,-38.6,13378.26,False,0.0,6,6689.13,20067.39,30,True,5,2025-05-08,Completed,False,3404.82,0.625,True,6270.18
DEA00039,CRE0373,MVMT Watches,Photography & Videography,Substack,Integration,79456,Micro,0.3691,1506.05,3672.53,-59.0,2184.33,True,781.9,0,0.0,2966.23,30,True,1,2026-03-18,Declined,True,678.28,0.667,True,2166.48
DEA00040,CRE0224,Audible,Pet Care,Substack,Instagram Post,14444,Micro,0.4841,310.06,561.46,-44.8,487.39,True,199.84,2,81.23,768.46,15,True,3,2025-12-07,Completed,False,177.33,0.167,True,251.4
DEA00041,CRE0052,Grammarly,Finance & Investing,Twitter/X,Newsletter,215782,Mid,0.0104,2326.79,5197.5,-55.2,3358.89,True,1063.1,1,279.91,4701.9,60,False,2,2026-01-16,Completed,False,1032.1,0.25,True,2870.71
DEA00042,CRE0538,Asana,Technology & Software,YouTube,Instagram Post,295390,Mid,0.0367,2806.23,4619.17,-39.2,3340.37,True,1328.02,2,556.73,5225.12,15,False,2,2025-10-20,Completed,False,534.14,0.571,True,1812.94
DEA00043,CRE0107,Skillshare,Gaming & Esports,Twitter/X,Reel,766971,Macro,0.0087,8705.43,11088.22,-21.5,11642.63,False,0.0,6,5821.32,17463.95,30,True,Unlimited,2025-10-16,In Progress,True,2937.2,0.667,True,2382.79
DEA00044,CRE0038,Noom,Home Decor & Interior Design,Substack,Instagram Post,323351,Mid,0.5839,13829.99,16502.9,-16.2,17248.34,True,8084.61,12,17248.34,42581.29,60,True,3,2025-05-19,Completed,True,3418.35,0.875,True,2672.91
DEA00045,CRE0287,Squarespace,Sustainable Living,LinkedIn,Story Series,6671,Nano,0.0176,29.64,54.89,-46.0,44.72,False,0.0,0,0.0,44.72,30,True,3,2025-10-15,Completed,True,15.08,0.5,True,25.25
DEA00046,CRE0051,Brilliant,Home Decor & Interior Design,Instagram,Integration,1409,Nano,0.0499,10.66,22.47,-52.6,15.45,True,6.25,3,3.86,25.56,15,False,Unlimited,2025-10-29,Negotiating,True,4.79,0.5,True,11.81
DEA00047,CRE0550,NordVPN,Travel & Adventure,Twitter/X,Reel,8423,Nano,0.0164,59.15,117.26,-49.6,76.83,False,0.0,1,6.4,83.23,30,False,1,2025-10-27,Completed,True,17.68,1.0,True,58.11
DEA00048,CRE0600,Wix,Pet Care,YouTube,Instagram Post,165070,Mid,0.0498,1605.51,1959.33,-18.1,2057.3,True,961.51,1,171.44,3190.25,60,False,1,2026-01-12,Completed,True,451.79,0.4,True,353.82
DEA00049,CRE0143,NordVPN,Personal Development,LinkedIn,Instagram Post,5438,Nano,0.0242,39.96,54.09,-26.1,43.28,True,16.94,3,10.82,71.04,60,True,1,2025-05-02,Negotiating,True,3.32,0.667,True,14.13
DEA00050,CRE0341,ExpressVPN,Language Learning,TikTok,Integration,65685,Micro,0.0384,653.41,927.98,-29.6,684.1,False,0.0,0,0.0,684.1,45,True,Unlimited,2025-06-20,Completed,True,30.69,0.875,True,274.57
DEA00051,CRE0320,Betterment,Travel & Adventure,TikTok,TikTok,38267,Micro,0.0343,370.47,603.67,-38.6,456.58,False,0.0,1,38.05,494.63,30,True,2,2026-02-09,Negotiating,False,86.11,0.5,True,233.2
DEA00052,CRE0521,Monday.com,Science & Space,Substack,Reel,38267,Micro,0.4763,872.57,2613.11,-66.6,1100.79,False,0.0,0,0.0,1100.79,45,False,5,2026-02-17,Negotiating,True,228.22,0.333,True,1740.54
DEA00053,CRE0448,Betterment,Beauty & Fashion,Instagram,Story Series,181731,Mid,0.0315,1015.3,1817.64,-44.1,1526.26,True,685.95,0,0.0,2212.21,60,True,3,2025-05-18,Completed,False,510.96,0.111,True,802.34
DEA00054,CRE0161,Grammarly,Personal Development,TikTok,Integration,18871,Micro,0.0595,152.3,351.45,-56.7,186.97,True,69.44,6,93.48,349.89,45,False,2,2026-01-24,In Progress,True,34.67,0.25,True,199.15
DEA00055,CRE0314,LastPass,Sustainable Living,LinkedIn,Story Series,493019,Mid,0.0254,2534.06,4279.72,-40.8,3745.59,True,1351.68,12,3745.59,8842.86,30,True,2,2025-10-24,Completed,True,1211.53,0.5,True,1745.66
DEA00056,CRE0549,LastPass,Travel & Adventure,YouTube,Reel,430678,Mid,0.0399,4089.44,7124.47,-42.6,6151.62,False,0.0,0,0.0,6151.62,90,True,1,2025-03-25,Declined,True,2062.18,1.0,True,3035.03
DEA00057,CRE0356,Public,Comedy & Entertainment,TikTok,Instagram Post,28600,Micro,0.0751,148.41,407.56,-63.6,173.22,True,65.63,0,0.0,238.85,30,False,2,2025-11-10,Declined,False,24.81,0.4,True,259.15
DEA00058,CRE0170,Toptal,Sustainable Living,Twitter/X,Story Series,81301,Micro,0.007,313.8,617.3,-49.2,375.65,False,0.0,0,0.0,375.65,30,False,2,2025-07-22,Completed,True,61.85,0.571,True,303.5
DEA00059,CRE0115,Blue Apron,Science & Space,YouTube,Story Series,572265,Macro,0.0446,4301.68,6748.05,-36.3,4469.38,False,0.0,1,372.45,4841.83,30,False,Unlimited,2025-11-08,Negotiating,False,167.7,0.167,True,2446.37
DEA00060,CRE0091,Canva,Travel & Adventure,LinkedIn,Dedicated Video,25164,Micro,0.0397,527.06,806.72,-34.7,569.12,False,0.0,12,569.12,1138.24,60,False,5,2025-06-08,Completed,True,42.06,0.429,True,279.66
DEA00061,CRE0380,Morning Brew,Music & Audio Production,LinkedIn,TikTok,337569,Mid,0.027,3200.01,4509.64,-29.0,4735.12,True,1716.56,6,2367.56,8819.24,45,True,5,2026-01-15,Negotiating,True,1535.11,0.75,True,1309.63
DEA00062,CRE0440,Grammarly,Gaming & Esports,LinkedIn,Reel,331121,Mid,0.028,3748.66,5121.73,-26.8,5377.82,True,2039.21,12,5377.82,12794.85,90,False,Unlimited,2025-09-12,Declined,False,1629.16,0.75,True,1373.07
DEA00063,CRE0162,MasterClass,Comedy & Entertainment,LinkedIn,Reel,2728789,Mega,0.0361,22498.39,41745.12,-46.1,35864.1,True,12584.14,0,0.0,48448.24,30,False,5,2026-02-14,Completed,True,13365.71,1.0,True,19246.73
DEA00064,CRE0126,Grammarly,Education & Online Courses,YouTube,Story Series,34028,Micro,0.0408,265.86,403.15,-34.1,304.78,True,92.12,12,304.78,701.68,45,True,2,2025-09-27,Completed,True,38.92,0.125,True,137.29
DEA00065,CRE0517,Robinhood,Education & Online Courses,LinkedIn,Story Series,36974,Micro,0.0285,327.97,407.2,-19.5,330.02,False,0.0,0,0.0,330.02,30,False,2,2025-05-23,In Progress,True,2.05,0.25,True,79.23
DEA00066,CRE0212,NordVPN,Parenting & Family,Twitter/X,Instagram Post,9600,Nano,0.0081,64.67,90.12,-28.2,81.43,True,33.46,0,0.0,114.89,90,True,Unlimited,2026-01-23,In Progress,True,16.76,1.0,True,25.45
DEA00067,CRE0363,Fiverr,Technology & Software,Twitter/X,Integration,24623,Micro,0.021,269.88,524.54,-48.5,273.47,True,100.47,0,0.0,373.94,90,True,5,2026-03-10,Completed,True,3.59,0.6,True,254.66
DEA00068,CRE0598,MVMT Watches,Personal Development,LinkedIn,TikTok,541554,Macro,0.0314,5408.04,6935.07,-22.0,6728.88,False,0.0,3,1682.22,8411.1,15,False,1,2025-04-23,Completed,False,1320.84,1.0,True,1527.03
DEA00069,CRE0424,LastPass,Education & Online Courses,Twitter/X,Newsletter,602268,Macro,0.0175,6536.73,13506.2,-51.6,6899.64,False,0.0,6,3449.82,10349.46,30,True,1,2025-08-04,Negotiating,True,362.91,0.75,True,6969.47
DEA00070,CRE0465,Notion,Music & Audio Production,LinkedIn,Story Series,744323,Macro,0.0402,4070.21,6455.39,-36.9,5519.38,True,2439.34,1,459.95,8418.67,30,False,2,2025-07-28,Negotiating,False,1449.17,0.75,True,2385.18
DEA00071,CRE0181,Monday.com,Sustainable Living,Twitter/X,Story Series,85282,Micro,0.0201,492.82,653.47,-24.6,526.48,True,186.22,0,0.0,712.7,30,True,1,2025-07-13,Declined,True,33.66,0.714,True,160.65
DEA00072,CRE0055,LastPass,Science & Space,LinkedIn,Newsletter,64530,Micro,0.0176,833.56,1210.07,-31.1,870.72,False,0.0,6,435.36,1306.08,60,False,Unlimited,2025-11-28,Completed,True,37.16,1.0,True,376.51
DEA00073,CRE0296,Airtable,Personal Development,YouTube,Newsletter,61408,Micro,0.0435,652.66,1385.72,-52.9,854.57,True,409.02,1,71.21,1334.8,15,False,3,2025-10-07,Completed,True,201.91,0.571,True,733.06
DEA00074,CRE0016,Asana,Personal Development,Twitter/X,Newsletter,171700,Mid,0.0262,1712.64,3559.64,-51.9,2499.52,True,968.21,2,416.59,3884.32,45,False,5,2025-12-12,Completed,True,786.88,0.357,True,1847.0
DEA00075,CRE0165,Headspace,Travel & Adventure,LinkedIn,Story Series,26420,Micro,0.0246,108.18,255.33,-57.6,148.99,False,0.0,1,12.42,161.41,30,False,2,2025-06-18,Completed,True,40.81,0.143,True,147.15
DEA00076,CRE0016,NordVPN,Gaming & Esports,Twitter/X,Instagram Post,80939,Micro,0.0088,568.61,891.65,-36.2,841.17,False,0.0,6,420.58,1261.75,45,True,2,2026-02-11,Completed,True,272.56,0.5,True,323.04
DEA00077,CRE0539,Factor Meals,Science & Space,Twitter/X,Integration,31772,Micro,0.0112,290.16,536.74,-45.9,351.94,False,0.0,12,351.94,703.88,30,False,Unlimited,2025-11-07,Declined,True,61.78,0.167,True,246.58
DEA00078,CRE0235,Asana,Sustainable Living,Twitter/X,Story Series,280307,Mid,0.0243,1508.98,2251.84,-33.0,2068.99,False,0.0,0,0.0,2068.99,90,False,1,2025-04-08,Completed,False,560.01,0.429,True,742.86
DEA00079,CRE0435,Morning Brew,Home Decor & Interior Design,YouTube,Integration,468277,Mid,0.0392,4542.21,6972.91,-34.9,5485.93,False,0.0,2,914.32,6400.25,30,False,2,2025-05-04,Completed,True,943.72,0.917,True,2430.7
DEA00080,CRE0252,Codecademy,Gaming & Esports,TikTok,Reel,214570,Mid,0.0578,2628.76,3731.98,-29.6,3918.58,True,1338.9,3,979.64,6237.12,30,True,3,2025-04-10,Negotiating,False,1289.82,0.6,True,1103.22
DEA00081,CRE0152,Asana,Music & Audio Production,LinkedIn,Integration,83787,Micro,0.0184,409.62,1174.22,-65.1,423.89,False,0.0,3,105.97,529.86,30,False,2,2025-07-28,Declined,True,14.27,0.667,True,764.6
DEA00082,CRE0357,Airtable,Technology & Software,LinkedIn,Instagram Post,461048,Mid,0.0279,5788.59,7742.42,-25.2,6093.82,True,2234.55,2,1015.64,9344.01,30,False,2,2026-02-28,Completed,False,305.23,1.0,True,1953.83
DEA00083,CRE0480,Morning Brew,Gaming & Esports,Instagram,Story Series,98192,Micro,0.0417,370.26,1187.49,-68.8,375.96,False,0.0,12,375.96,751.92,30,False,Unlimited,2025-07-12,In Progress,False,5.7,0.375,True,817.23
DEA00084,CRE0464,Dollar Shave Club,Photography & Videography,LinkedIn,Reel,576609,Macro,0.0126,5312.04,7414.31,-28.4,5526.72,True,1813.46,0,0.0,7340.18,45,False,2,2025-08-27,Completed,False,214.68,0.286,True,2102.27
DEA00085,CRE0354,Factor Meals,Finance & Investing,LinkedIn,Reel,55545,Micro,0.0153,764.72,1063.62,-28.1,873.49,True,308.46,0,0.0,1181.95,30,True,5,2025-06-13,Completed,False,108.77,0.6,True,298.9
DEA00086,CRE0457,Airtable,Sustainable Living,Substack,Instagram Post,116947,Mid,0.2804,1461.47,3020.01,-51.6,1472.93,False,0.0,6,736.47,2209.4,45,False,2,2025-05-14,Declined,False,11.46,0.111,True,1558.54
DEA00087,CRE0014,Shopify,Gaming & Esports,YouTube,Instagram Post,985610,Macro,0.0304,7173.68,12699.67,-43.5,7186.15,False,0.0,0,0.0,7186.15,15,True,1,2025-09-05,In Progress,True,12.47,0.5,True,5525.99
DEA00088,CRE0188,Audible,Parenting & Family,Substack,Dedicated Video,65041,Micro,0.4962,5368.3,7058.51,-23.9,6341.44,True,2948.38,0,0.0,9289.82,90,False,Unlimited,2025-12-27,Completed,True,973.14,1.0,True,1690.21
DEA00089,CRE0176,Robinhood,Pet Care,YouTube,Reel,28966,Micro,0.0347,312.33,401.93,-22.3,422.03,False,0.0,6,211.01,633.04,90,False,1,2025-05-11,Declined,False,109.7,0.6,True,89.6
DEA00090,CRE0452,Fiverr,Photography & Videography,TikTok,Instagram Post,1520593,Mega,0.0625,10516.66,17385.52,-39.5,11031.98,True,4033.32,3,2757.99,17823.29,30,False,1,2025-05-22,In Progress,False,515.32,0.333,True,6868.86
DEA00091,CRE0011,Airtable,Finance & Investing,LinkedIn,Story Series,255128,Mid,0.0242,2640.51,3789.37,-30.3,3204.43,False,0.0,0,0.0,3204.43,30,True,5,2026-01-28,Completed,True,563.92,0.375,True,1148.86
DEA00092,CRE0314,Asana,Gaming & Esports,LinkedIn,Integration,3910750,Mega,0.0241,24289.98,66213.44,-63.3,25832.61,True,10399.08,0,0.0,36231.69,30,False,5,2025-07-31,Completed,True,1542.63,1.0,True,41923.46
DEA00093,CRE0129,Codecademy,Sustainable Living,Twitter/X,TikTok,612671,Macro,0.0148,4814.85,6474.13,-25.6,6797.84,True,2115.37,3,1699.46,10612.67,45,False,5,2025-06-04,In Progress,False,1982.99,1.0,True,1659.28
DEA00094,CRE0284,Public,Education & Online Courses,Instagram,TikTok,115097,Mid,0.0053,881.33,1576.86,-44.1,978.2,True,351.3,3,244.55,1574.05,90,False,2,2025-06-26,Completed,True,96.87,0.083,True,695.53
DEA00095,CRE0135,Public,Finance & Investing,Instagram,Integration,245962,Mid,0.0299,4567.85,5708.41,-20.0,5993.83,True,1848.11,2,998.97,8840.91,30,True,1,2025-11-03,Completed,False,1425.98,0.818,True,1140.56
DEA00096,CRE0044,Ridge Wallet,Sustainable Living,Substack,Story Series,67933,Micro,0.1957,595.73,1227.89,-51.5,659.63,False,0.0,0,0.0,659.63,30,False,5,2026-03-02,Completed,False,63.9,0.143,True,632.16
DEA00097,CRE0063,Public,Comedy & Entertainment,Twitter/X,Instagram Post,424396,Mid,0.0151,1935.31,3881.62,-50.1,2564.43,True,1275.45,1,213.7,4053.58,90,False,2,2025-06-21,Completed,True,629.12,0.5,True,1946.31
DEA00098,CRE0140,Grammarly,Finance & Investing,Twitter/X,Integration,18717,Micro,0.0167,157.87,419.16,-62.3,200.68,False,0.0,1,16.72,217.4,30,True,2,2025-05-15,Completed,True,42.81,0.333,True,261.29
DEA00099,CRE0495,Athletic Greens,Photography & Videography,Instagram,Newsletter,467218,Mid,0.0295,5349.21,8176.93,-34.6,6753.0,True,2992.94,0,0.0,9745.94,60,True,Unlimited,2025-06-08,In Progress,True,1403.79,1.0,True,2827.72
DEA00100,CRE0260,Airtable,Photography & Videography,Twitter/X,Instagram Post,91242,Micro,0.0092,532.34,896.78,-40.6,838.87,False,0.0,0,0.0,838.87,45,False,5,2025-04-16,In Progress,False,306.53,1.0,True,364.44
DEA00101,CRE0177,LastPass,Gaming & Esports,YouTube,Integration,255688,Mid,0.0612,4308.03,5583.89,-22.8,5574.92,True,1925.52,3,1393.73,8894.17,15,True,2,2025-12-30,Completed,False,1266.89,0.75,True,1275.86
DEA00102,CRE0408,NordVPN,Food & Cooking,TikTok,TikTok,41070,Micro,0.0543,447.73,584.9,-23.5,480.28,True,195.09,1,40.02,715.39,30,False,1,2025-12-28,Completed,True,32.55,0.333,True,137.17
DEA00103,CRE0177,Headspace,Personal Development,LinkedIn,Integration,77473,Micro,0.0296,549.07,1185.66,-53.7,812.06,False,0.0,2,135.34,947.4,60,True,1,2025-09-14,Completed,True,262.99,0.75,True,636.59
DEA00104,CRE0176,MasterClass,Parenting & Family,LinkedIn,TikTok,38432,Micro,0.0265,328.27,492.48,-33.3,366.69,False,0.0,0,0.0,366.69,30,True,2,2025-11-06,Completed,False,38.42,0.444,True,164.21
DEA00105,CRE0419,Blue Apron,Comedy & Entertainment,Twitter/X,Instagram Post,603740,Macro,0.0166,3072.19,5904.25,-48.0,3683.95,False,0.0,2,613.99,4297.94,30,True,3,2025-11-24,Declined,True,611.76,0.5,True,2832.06
DEA00106,CRE0209,Audible,Music & Audio Production,TikTok,Newsletter,299094,Mid,0.0292,2725.08,5654.74,-51.8,2730.28,True,1328.32,0,0.0,4058.6,30,True,2,2025-12-20,Declined,True,5.2,0.571,True,2929.66
DEA00107,CRE0130,Morning Brew,Finance & Investing,TikTok,Integration,360256,Mid,0.0557,4245.58,9273.48,-54.2,5284.32,False,0.0,0,0.0,5284.32,45,True,Unlimited,2026-01-05,Completed,True,1038.74,0.2,True,5027.9
DEA00108,CRE0329,Fiverr,Language Learning,Instagram,Integration,225855,Mid,0.031,2380.38,3528.84,-32.5,3058.38,False,0.0,6,1529.19,4587.57,30,False,1,2025-09-30,Completed,False,678.0,0.375,True,1148.46
DEA00109,CRE0352,Asana,Science & Space,YouTube,Reel,753103,Macro,0.0477,8289.78,13037.43,-36.4,9902.44,True,4573.33,12,9902.44,24378.21,15,False,5,2025-10-12,Completed,False,1612.66,0.833,True,4747.65
DEA00110,CRE0388,Codecademy,Business & Entrepreneurship,TikTok,Story Series,514661,Macro,0.0519,5432.11,7087.89,-23.4,6174.34,True,2076.24,2,1029.06,9279.64,30,True,Unlimited,2026-02-03,Negotiating,False,742.23,0.143,True,1655.78
DEA00111,CRE0565,Skillshare,Technology & Software,TikTok,Story Series,475028,Mid,0.0657,3005.06,8598.06,-65.0,4044.39,False,0.0,2,674.06,4718.45,30,True,2,2025-09-02,Declined,False,1039.33,0.667,True,5593.0
DEA00112,CRE0023,HelloFresh,Business & Entrepreneurship,YouTube,Story Series,270746,Mid,0.0412,2829.97,3454.29,-18.1,2953.44,False,0.0,0,0.0,2953.44,15,False,Unlimited,2026-03-09,In Progress,False,123.47,0.5,True,624.32
DEA00113,CRE0446,MasterClass,Language Learning,YouTube,TikTok,237598,Mid,0.0277,2226.07,2700.51,-17.6,2546.78,True,1211.84,6,1273.39,5032.01,30,True,Unlimited,2026-02-16,Completed,False,320.71,0.429,True,474.44
