launch_id,creator_id,product_name,niche,product_type,price_usd,follower_tier,email_list_size,used_email_launch_sequence,number_of_launch_emails,ai_generated_emails,launch_duration_days,units_sold,gross_revenue_usd,cart_abandonment_rate,cart_recovery_rate,recovery_revenue_usd,total_revenue_usd,refund_rate,affiliate_partners,affiliate_revenue_usd,launch_date,platform_promoted_on
LNC0016,CRE0156,Chord Progression PDF,Music & Audio Production,Course,67,Mid,21127,False,0,False,5,494,33156.44,0.556,0.01,184.35,33340.79,0.033,4,1346.75,2024-05-25,Substack
LNC0017,CRE0016,Editing Course,Photography & Videography,Guide,17,Micro,2255,True,3,False,5,30,515.16,0.673,0.048,16.64,531.8,0.032,6,121.75,2025-09-22,YouTube
LNC0018,CRE0527,Beat Making Course,Music & Audio Production,Template,17,Mega,322571,True,3,False,5,5329,90599.66,0.557,0.032,1614.85,92214.51,0.027,7,22009.95,2024-04-08,Substack
LNC0019,CRE0565,Furniture Layout PDF,Home Decor & Interior Design,Guide,47,Mid,13158,True,5,True,5,250,11777.15,0.611,0.034,244.66,12021.81,0.05,0,1534.34,2024-03-20,Instagram
LNC0020,CRE0344,Recipe eBook,Food & Cooking,Guide,67,Micro,3658,False,0,False,14,166,11143.36,0.633,0.01,70.54,11213.9,0.024,8,810.5,2025-09-24,Substack
LNC0021,CRE0442,Stream Setup Checklist,Gaming & Esports,Bundle,127,Micro,4752,True,4,True,7,95,12169.79,0.643,0.105,821.64,12991.43,0.033,14,452.65,2024-07-12,Twitter/X
LNC0022,CRE0015,Confidence Course,Personal Development,Guide,297,Micro,1733,True,5,True,3,59,17613.27,0.758,0.052,694.24,18307.51,0.058,9,3046.53,2025-12-12,Instagram
LNC0023,CRE0237,Flight Deal Tracker,Travel & Adventure,Course,37,Mega,227234,True,3,False,10,6263,231755.37,0.608,0.057,8031.71,239787.08,0.017,8,20407.03,2024-05-06,YouTube
LNC0024,CRE0213,Cold Email Scripts,Business & Entrepreneurship,Template,67,Micro,3950,True,3,True,3,147,9894.97,0.717,0.041,290.88,10185.85,0.032,0,2100.66,2025-08-20,Twitter/X
LNC0025,CRE0426,Family Budget Sheet,Parenting & Family,eBook,37,Mega,47271,False,0,False,3,1680,62194.7,0.789,0.01,490.72,62685.42,0.025,0,17293.13,2024-06-08,Twitter/X
LNC0026,CRE0403,Styling Checklist,Home Decor & Interior Design,Template,37,Micro,10962,True,5,False,3,213,7913.81,0.749,0.055,326.01,8239.82,0.051,13,669.41,2024-04-01,YouTube
LNC0027,CRE0388,Sustainability Tracker,Sustainable Living,Template,17,Micro,2371,True,4,False,5,89,1521.72,0.762,0.089,103.2,1624.92,0.077,1,445.11,2025-03-10,YouTube
LNC0028,CRE0583,Journal Prompts PDF,Personal Development,Guide,47,Mid,5522,False,0,False,5,88,4175.88,0.664,0.01,27.73,4203.61,0.018,11,669.6,2025-04-23,Substack
LNC0029,CRE0314,Joke Writing Guide,Comedy & Entertainment,Guide,97,Macro,38050,False,0,False,10,1252,121514.66,0.748,0.01,908.93,122423.59,0.022,13,32165.77,2024-10-05,Substack
LNC0030,CRE0548,Improv Exercise Pack,Comedy & Entertainment,eBook,97,Micro,2415,True,4,True,5,62,6019.82,0.7,0.083,349.75,6369.57,0.048,8,487.74,2025-02-03,TikTok
LNC0031,CRE0003,Pet Nutrition Sheet,Pet Care,Template,47,Micro,10791,False,0,False,14,356,16752.71,0.563,0.01,94.32,16847.03,0.062,4,8.48,2025-06-13,TikTok
LNC0032,CRE0566,Study Cards Pack,Science & Space,Bundle,67,Mid,32686,False,0,False,3,1382,92603.03,0.695,0.01,643.59,93246.62,0.051,9,19345.93,2025-04-13,Instagram
LNC0033,CRE0284,Makeup Masterclass,Beauty & Fashion,Course,97,Mid,4931,False,0,False,3,111,10839.28,0.627,0.01,67.96,10907.24,0.021,6,2386.83,2025-08-17,Twitter/X
LNC0034,CRE0548,Knife Skills Course,Food & Cooking,eBook,37,Macro,77178,True,4,True,10,2948,109106.1,0.703,0.059,4525.39,113631.49,0.032,18,9357.93,2024-07-29,Instagram
LNC0035,CRE0279,Packing List PDF,Travel & Adventure,Bundle,297,Mid,10858,True,3,False,7,420,124781.63,0.604,0.03,2261.04,127042.67,0.064,6,18466.44,2024-05-13,LinkedIn
LNC0036,CRE0090,Automation Course,Technology & Software,Course,17,Mid,16932,False,0,False,5,255,4335.9,0.664,0.01,28.79,4364.69,0.033,7,397.89,2025-11-26,YouTube
LNC0037,CRE0372,Skincare Routine PDF,Beauty & Fashion,Bundle,17,Mid,20953,False,0,False,3,734,12483.4,0.724,0.01,90.38,12573.78,0.053,6,1365.16,2024-11-11,Twitter/X
LNC0038,CRE0115,Joke Writing Guide,Comedy & Entertainment,eBook,197,Micro,2056,True,4,True,5,30,5914.42,0.658,0.064,249.07,6163.49,0.041,20,1690.5,2026-02-14,YouTube
LNC0039,CRE0110,Editing Course,Photography & Videography,Preset Pack,97,Micro,1225,True,6,False,7,31,3044.47,0.794,0.071,171.63,3216.1,0.046,1,171.56,2024-07-25,Substack
LNC0040,CRE0041,Habit Tracker Notion,Personal Development,Preset Pack,197,Micro,4942,False,0,False,14,115,22724.97,0.666,0.01,151.35,22876.32,0.015,6,6181.59,2024-10-02,Substack
LNC0041,CRE0195,Room Planning Guide,Home Decor & Interior Design,Bundle,127,Micro,1581,False,0,False,10,35,4559.48,0.701,0.01,31.96,4591.44,0.025,6,67.56,2024-07-14,Instagram
LNC0042,CRE0011,Packing List PDF,Travel & Adventure,Template,37,Micro,2535,False,0,False,3,29,1100.08,0.751,0.01,8.26,1108.34,0.041,4,86.63,2024-06-17,LinkedIn
LNC0043,CRE0224,Pitch Deck Kit,Business & Entrepreneurship,Bundle,97,Mid,18617,True,3,True,5,415,40324.47,0.754,0.106,3222.89,43547.36,0.076,11,7883.36,2025-01-26,Twitter/X
LNC0044,CRE0221,Green Home Guide,Sustainable Living,eBook,47,Mid,40567,True,4,True,3,555,26092.26,0.659,0.037,636.21,26728.47,0.046,0,6979.57,2025-01-03,YouTube
LNC0045,CRE0534,Beat Making Course,Music & Audio Production,eBook,27,Micro,7406,False,0,False,7,223,6025.11,0.659,0.01,39.71,6064.82,0.022,4,1554.23,2024-12-30,Twitter/X
LNC0046,CRE0153,Beat Making Course,Music & Audio Production,Template,37,Mid,9657,True,5,False,14,155,5740.58,0.703,0.047,189.67,5930.25,0.039,18,1682.08,2024-08-17,LinkedIn
LNC0047,CRE0032,Fermentation Guide,Food & Cooking,eBook,37,Mid,21648,True,4,True,5,1060,39252.28,0.669,0.057,1496.81,40749.09,0.027,3,5042.72,2024-04-27,LinkedIn
LNC0048,CRE0345,Skincare Routine PDF,Beauty & Fashion,Bundle,27,Micro,10359,True,6,True,14,368,9957.45,0.732,0.106,772.62,10730.07,0.064,0,1747.64,2025-08-13,LinkedIn
LNC0049,CRE0140,Pricing Playbook,Business & Entrepreneurship,Preset Pack,197,Micro,6769,True,6,False,3,223,43953.71,0.599,0.106,2790.8,46744.51,0.035,17,7672.92,2025-11-26,LinkedIn
LNC0050,CRE0350,Morning Routine Guide,Personal Development,Course,47,Macro,73826,True,6,True,5,3331,156560.89,0.607,0.101,9598.28,166159.17,0.064,11,1115.58,2025-04-06,Instagram
LNC0051,CRE0470,Research Template,Education & Online Courses,Course,67,Micro,2657,True,4,False,7,64,4326.05,0.653,0.037,104.52,4430.57,0.03,4,479.83,2025-04-11,Substack
LNC0052,CRE0536,Skincare Routine PDF,Beauty & Fashion,Preset Pack,197,Micro,709,False,0,False,5,13,2686.5,0.578,0.01,15.53,2702.03,0.036,4,428.72,2024-04-22,Instagram
LNC0053,CRE0148,Options Playbook,Finance & Investing,Course,17,Micro,1603,False,0,False,14,78,1334.38,0.733,0.01,9.78,1344.16,0.072,8,271.92,2025-06-28,LinkedIn
LNC0054,CRE0522,Reading Log PDF,Parenting & Family,eBook,197,Mid,17516,False,0,False,5,533,105002.54,0.691,0.01,725.57,105728.11,0.031,10,4890.34,2025-12-20,Twitter/X
LNC0055,CRE0442,Pet First Aid Guide,Pet Care,Preset Pack,17,Mid,8880,True,5,False,10,308,5236.65,0.767,0.09,361.49,5598.14,0.017,10,541.16,2024-09-01,Twitter/X
LNC0056,CRE0070,Research Template,Education & Online Courses,Guide,127,Macro,86240,True,4,False,10,2270,288369.72,0.553,0.046,7335.55,295705.27,0.043,8,44330.43,2025-04-30,YouTube
LNC0057,CRE0071,Confidence Course,Personal Development,Preset Pack,47,Mid,9180,False,0,False,5,172,8096.5,0.577,0.01,46.72,8143.22,0.035,13,1713.04,2025-09-28,Instagram
LNC0058,CRE0216,Skincare Routine PDF,Beauty & Fashion,Bundle,127,Mid,29442,True,5,True,14,438,55696.88,0.752,0.078,3266.96,58963.84,0.013,19,14509.57,2025-01-10,LinkedIn
LNC0059,CRE0460,Automation Course,Technology & Software,Template,127,Mid,14566,True,5,True,5,429,54560.23,0.624,0.061,2076.78,56637.01,0.044,6,11470.01,2025-11-18,Instagram
LNC0060,CRE0585,Beat Making Course,Music & Audio Production,eBook,27,Micro,474,True,6,True,3,17,484.08,0.717,0.104,36.1,520.18,0.076,3,136.12,2025-08-18,Substack
LNC0061,CRE0393,Green Home Guide,Sustainable Living,Preset Pack,197,Nano,240,False,0,False,5,7,1550.73,0.78,0.01,12.1,1562.83,0.027,2,124.54,2026-01-07,YouTube
LNC0062,CRE0139,Investment Tracker,Finance & Investing,Bundle,297,Mid,14739,False,0,False,7,205,61092.58,0.756,0.01,461.86,61554.44,0.059,3,13314.22,2024-04-16,TikTok
LNC0063,CRE0316,Investment Tracker,Finance & Investing,eBook,37,Micro,4714,True,3,True,5,177,6581.64,0.744,0.094,460.29,7041.93,0.022,20,923.01,2025-01-16,TikTok
LNC0064,CRE0374,Baking Masterclass,Food & Cooking,eBook,67,Macro,76003,True,3,True,7,2632,176357.02,0.726,0.066,8450.32,184807.34,0.076,11,30087.97,2025-08-17,YouTube
LNC0065,CRE0445,Chord Progression PDF,Music & Audio Production,Guide,127,Mid,14714,True,5,True,10,687,87259.71,0.671,0.088,5152.51,92412.22,0.037,0,18504.43,2024-10-27,Instagram
LNC0066,CRE0494,Baking Masterclass,Food & Cooking,Template,27,Mid,37727,True,5,False,10,592,15994.41,0.577,0.099,913.65,16908.06,0.013,3,2408.21,2025-07-30,YouTube
LNC0067,CRE0564,Packing List PDF,Travel & Adventure,Guide,97,Micro,3270,False,0,False,7,104,10160.86,0.642,0.01,65.23,10226.09,0.051,7,1723.34,2024-06-22,YouTube
LNC0068,CRE0198,Composition Guide,Photography & Videography,Preset Pack,97,Mid,22135,False,0,False,14,548,53162.3,0.735,0.01,390.74,53553.04,0.051,10,2111.64,2025-09-07,LinkedIn
LNC0069,CRE0471,Launch Checklist,Business & Entrepreneurship,Bundle,297,Nano,215,False,0,False,10,6,1992.22,0.791,0.01,15.76,2007.98,0.041,2,84.65,2025-09-06,Substack
LNC0070,CRE0183,Script Template,Comedy & Entertainment,Guide,127,Mid,16008,True,3,False,3,304,38628.13,0.734,0.031,878.94,39507.07,0.027,17,2297.39,2025-11-10,Instagram
LNC0071,CRE0377,Study Schedule,Language Learning,Template,197,Mid,8347,True,7,False,10,325,64159.92,0.799,0.061,3127.09,67287.01,0.034,7,4453.32,2025-08-06,Substack
LNC0072,CRE0158,Improv Exercise Pack,Comedy & Entertainment,eBook,197,Mid,10679,True,3,True,7,303,59714.18,0.633,0.058,2192.35,61906.53,0.05,19,1653.04,2025-10-25,YouTube
LNC0073,CRE0346,Dog Training Guide,Pet Care,Preset Pack,297,Micro,2050,True,6,False,14,81,24240.47,0.791,0.035,671.1,24911.57,0.017,1,2080.78,2025-08-31,YouTube
LNC0074,CRE0061,Colour Palette Pack,Home Decor & Interior Design,Template,47,Micro,1918,True,7,True,7,85,4000.37,0.764,0.032,97.8,4098.17,0.066,12,918.7,2024-08-06,YouTube
LNC0075,CRE0329,Study System PDF,Education & Online Courses,Bundle,67,Mid,19225,False,0,False,3,448,30047.99,0.598,0.01,179.69,30227.68,0.071,17,8962.8,2025-06-04,LinkedIn
LNC0076,CRE0031,Storytelling Course,Comedy & Entertainment,Template,27,Mid,12721,False,0,False,3,488,13190.87,0.737,0.01,97.22,13288.09,0.016,14,1225.23,2026-01-24,Twitter/X
LNC0077,CRE0223,Pricing Playbook,Business & Entrepreneurship,Preset Pack,37,Micro,8290,False,0,False,14,212,7860.67,0.608,0.01,47.79,7908.46,0.022,0,2042.68,2024-11-12,TikTok
LNC0078,CRE0177,Packing List PDF,Travel & Adventure,Preset Pack,197,Macro,29155,False,0,False,5,1126,221923.09,0.578,0.01,1282.72,223205.81,0.078,16,6995.36,2025-11-03,Substack
LNC0079,CRE0501,Furniture Layout PDF,Home Decor & Interior Design,Template,47,Micro,5150,True,4,True,3,173,8143.21,0.791,0.061,392.92,8536.13,0.043,16,735.23,2024-06-13,Twitter/X
LNC0080,CRE0437,VS Code Setup Guide,Technology & Software,Guide,127,Micro,5777,False,0,False,7,107,13698.35,0.57,0.01,78.08,13776.43,0.059,18,2144.01,2024-04-19,TikTok
LNC0081,CRE0192,Exam Prep Kit,Education & Online Courses,Guide,47,Mid,28813,True,5,False,5,527,24783.3,0.58,0.107,1538.05,26321.35,0.058,3,1596.86,2024-06-26,Substack
LNC0082,CRE0430,Skincare Routine PDF,Beauty & Fashion,Bundle,67,Nano,119,True,4,True,10,4,333.48,0.565,0.047,8.86,342.34,0.028,9,41.62,2025-05-12,TikTok
LNC0083,CRE0536,Itinerary Bundle,Travel & Adventure,Course,67,Micro,9084,False,0,False,3,233,15677.85,0.733,0.01,114.92,15792.77,0.012,17,2063.83,2024-09-25,Substack
LNC0084,CRE0294,Learning Roadmap,Education & Online Courses,Guide,197,Micro,2395,True,3,False,3,63,12516.02,0.61,0.103,786.38,13302.4,0.054,12,732.88,2024-12-16,TikTok
LNC0085,CRE0370,Study Cards Pack,Science & Space,Guide,37,Micro,2587,True,3,False,3,33,1244.06,0.704,0.107,93.71,1337.77,0.049,8,160.74,2024-10-13,TikTok
LNC0086,CRE0163,Goal Setting Workbook,Personal Development,Course,17,Macro,40082,False,0,False,3,608,10338.73,0.577,0.01,59.65,10398.38,0.04,7,1283.94,2025-03-08,TikTok
LNC0087,CRE0280,Journal Prompts PDF,Personal Development,eBook,197,Mega,174728,True,4,False,14,6765,1332783.87,0.713,0.1,95027.49,1427811.36,0.057,10,316484.36,2024-05-26,TikTok
LNC0088,CRE0397,Makeup Masterclass,Beauty & Fashion,Guide,297,Macro,47609,True,6,True,14,629,187010.54,0.711,0.057,7578.98,194589.52,0.015,13,51206.35,2024-04-04,Substack
LNC0089,CRE0202,Accent Reduction Guide,Language Learning,Course,17,Micro,4277,True,7,True,14,143,2433.6,0.589,0.091,130.44,2564.04,0.031,11,553.23,2025-03-29,LinkedIn
LNC0090,CRE0005,Chord Progression PDF,Music & Audio Production,eBook,47,Macro,32467,True,3,True,14,1383,65008.64,0.645,0.106,4444.64,69453.28,0.027,19,5628.71,2024-10-01,Twitter/X
LNC0091,CRE0219,Note-Taking Bundle,Education & Online Courses,Preset Pack,297,Micro,9393,False,0,False,14,284,84485.89,0.665,0.01,561.83,85047.72,0.036,5,17095.33,2025-06-10,LinkedIn
LNC0092,CRE0504,Capsule Wardrobe Guide,Beauty & Fashion,Guide,27,Mid,32084,True,4,True,3,784,21182.69,0.668,0.104,1471.6,22654.29,0.061,17,3753.12,2024-12-03,Twitter/X
LNC0093,CRE0308,Recipe eBook,Food & Cooking,Course,47,Mid,38055,True,6,True,7,955,44926.4,0.754,0.061,2066.34,46992.74,0.028,7,8040.23,2025-02-09,LinkedIn
LNC0094,CRE0593,Ranking Course,Gaming & Esports,Preset Pack,197,Micro,546,False,0,False,7,15,3092.86,0.563,0.01,17.41,3110.27,0.021,4,407.35,2025-05-24,YouTube
LNC0095,CRE0361,Confidence Course,Personal Development,Template,297,Micro,1148,True,6,True,3,46,13844.9,0.694,0.043,413.16,14258.06,0.022,2,2489.41,2025-09-18,Instagram
LNC0096,CRE0454,Morning Routine Guide,Personal Development,Course,197,Mid,15397,False,0,False,10,616,121426.66,0.662,0.01,803.84,122230.5,0.021,14,10511.12,2024-04-27,YouTube
LNC0097,CRE0282,City Guide Pack,Travel & Adventure,Template,27,Nano,299,True,3,True,3,10,289.84,0.752,0.031,6.76,296.6,0.07,0,73.16,2025-06-28,Instagram
LNC0098,CRE0590,Investment Tracker,Finance & Investing,Template,67,Mid,25458,True,7,False,3,1056,70808.94,0.72,0.054,2753.05,73561.99,0.041,15,11891.28,2024-05-17,Twitter/X
LNC0099,CRE0196,Chord Progression PDF,Music & Audio Production,Template,67,Mid,17789,True,7,True,7,309,20727.24,0.752,0.036,561.13,21288.37,0.034,0,1769.22,2025-04-05,Substack
LNC0100,CRE0249,Green Home Guide,Sustainable Living,Template,27,Mid,15319,True,5,True,14,306,8274.98,0.561,0.046,213.54,8488.52,0.017,19,2115.5,2026-01-14,Substack
LNC0101,CRE0224,Dev Roadmap PDF,Technology & Software,Preset Pack,127,Micro,8216,False,0,False,7,379,48258.88,0.743,0.01,358.56,48617.44,0.051,4,14080.0,2026-01-05,LinkedIn
LNC0102,CRE0054,Pro Settings Pack,Gaming & Esports,Bundle,67,Micro,8688,True,4,False,3,177,11910.29,0.571,0.058,394.44,12304.73,0.044,13,722.47,2024-05-03,Substack
LNC0103,CRE0309,Lab Notebook Template,Science & Space,Template,97,Mid,43953,False,0,False,7,588,57038.33,0.557,0.01,317.7,57356.03,0.018,2,299.66,2024-08-10,LinkedIn
LNC0104,CRE0563,Automation Course,Technology & Software,eBook,67,Macro,19344,True,5,True,7,751,50359.98,0.726,0.074,2705.54,53065.52,0.077,19,2913.25,2024-07-13,Substack
LNC0105,CRE0273,Note-Taking Bundle,Education & Online Courses,Course,127,Micro,3201,True,5,False,7,98,12553.26,0.796,0.059,589.55,13142.81,0.01,1,1125.75,2024-06-04,Twitter/X
LNC0106,CRE0540,Knife Skills Course,Food & Cooking,Bundle,197,Mid,30319,True,4,False,3,1359,267798.9,0.757,0.07,14190.66,281989.56,0.055,13,64009.37,2024-05-24,TikTok
LNC0107,CRE0143,Colour Palette Pack,Home Decor & Interior Design,Course,297,Mega,113494,True,4,True,5,2612,775902.71,0.687,0.095,50639.29,826542.0,0.011,7,155052.51,2024-11-20,TikTok
LNC0108,CRE0396,Meal Prep Guide,Food & Cooking,Guide,37,Micro,4035,True,3,False,3,139,5155.58,0.715,0.068,250.66,5406.24,0.066,6,1545.84,2026-02-10,Instagram
LNC0109,CRE0579,Style Bundle,Beauty & Fashion,Preset Pack,17,Micro,2144,True,4,False,7,83,1419.02,0.696,0.104,102.71,1521.73,0.033,18,70.98,2024-06-07,YouTube
LNC0110,CRE0445,Camera Settings PDF,Photography & Videography,Template,37,Mid,10778,True,4,True,14,201,7455.55,0.565,0.103,433.88,7889.43,0.055,18,1573.94,2024-04-03,Twitter/X
LNC0111,CRE0039,Styling Checklist,Home Decor & Interior Design,Preset Pack,97,Mid,18710,True,3,True,3,854,82864.8,0.733,0.11,6681.39,89546.19,0.075,19,16849.17,2026-01-16,Instagram
LNC0112,CRE0236,Colour Palette Pack,Home Decor & Interior Design,Template,197,Mid,22360,False,0,False,10,621,122477.24,0.617,0.01,755.68,123232.92,0.024,9,16780.86,2025-06-28,YouTube
LNC0113,CRE0012,Sample Pack,Music & Audio Production,Preset Pack,27,Mid,20961,True,5,False,5,735,19849.74,0.644,0.072,920.39,20770.13,0.063,2,3666.87,2024-09-25,LinkedIn
LNC0114,CRE0235,Chord Progression PDF,Music & Audio Production,eBook,67,Mega,153795,True,6,False,10,7030,471055.7,0.608,0.049,14033.69,485089.39,0.039,3,42052.29,2025-03-06,LinkedIn
LNC0115,CRE0185,Content Calendar,Comedy & Entertainment,Bundle,67,Micro,3258,True,6,True,3,54,3679.8,0.688,0.052,131.65,3811.45,0.062,2,759.0,2025-10-29,Substack
LNC0116,CRE0204,Cat Behaviour PDF,Pet Care,eBook,297,Micro,9483,True,4,True,10,303,90243.84,0.663,0.034,2034.28,92278.12,0.055,16,14486.5,2025-08-13,LinkedIn
LNC0117,CRE0014,Budget Spreadsheet,Finance & Investing,Preset Pack,37,Mid,44388,True,6,True,7,1524,56403.21,0.598,0.095,3204.27,59607.48,0.029,13,12674.22,2024-10-09,Twitter/X
LNC0118,CRE0006,Chord Progression PDF,Music & Audio Production,Guide,297,Mid,8032,False,0,False,14,393,116799.66,0.636,0.01,742.85,117542.51,0.021,18,28215.73,2024-06-01,Substack
LNC0119,CRE0445,DIY Tutorial Bundle,Home Decor & Interior Design,Guide,97,Mid,5775,False,0,False,7,109,10655.37,0.754,0.01,80.34,10735.71,0.028,0,2616.05,2025-02-02,Substack
LNC0120,CRE0585,Sample Pack,Music & Audio Production,eBook,47,Mid,5241,True,7,False,7,105,4943.82,0.744,0.103,378.85,5322.67,0.063,13,722.97,2024-12-19,TikTok
LNC0121,CRE0289,Joke Writing Guide,Comedy & Entertainment,Course,197,Mid,21893,True,6,True,10,328,64621.47,0.754,0.048,2338.78,66960.25,0.079,14,13837.66,2024-10-16,TikTok
LNC0122,CRE0212,Cat Behaviour PDF,Pet Care,Preset Pack,297,Micro,8630,True,6,True,3,264,78538.56,0.671,0.031,1633.68,80172.24,0.042,13,8051.29,2024-05-23,YouTube
LNC0123,CRE0446,Colour Palette Pack,Home Decor & Interior Design,Course,297,Nano,835,True,7,False,10,15,4661.53,0.618,0.055,158.45,4819.98,0.075,1,736.83,2024-07-05,Twitter/X
LNC0124,CRE0188,Meal Prep Guide,Food & Cooking,Guide,127,Mid,17128,True,5,False,14,841,106882.48,0.62,0.103,6825.52,113708.0,0.069,8,19853.61,2025-07-24,Twitter/X
LNC0125,CRE0280,Composition Guide,Photography & Videography,Template,17,Mid,6952,True,5,False,10,234,3984.97,0.674,0.094,252.47,4237.44,0.079,19,530.81,2024-09-16,YouTube
LNC0126,CRE0099,AI Prompts Bundle,Technology & Software,Course,17,Mid,8802,False,0,False,5,190,3244.86,0.59,0.01,19.14,3264.0,0.024,3,501.49,2025-06-11,TikTok
LNC0127,CRE0428,Business Plan Template,Business & Entrepreneurship,Preset Pack,67,Micro,856,False,0,False,10,27,1841.85,0.563,0.01,10.37,1852.22,0.034,11,373.01,2025-10-25,LinkedIn
LNC0128,CRE0216,Sleep Schedule Guide,Parenting & Family,Bundle,97,Micro,1876,True,4,True,14,46,4503.65,0.655,0.081,238.94,4742.59,0.02,13,683.52,2024-05-06,Twitter/X
LNC0129,CRE0264,DIY Tutorial Bundle,Home Decor & Interior Design,Guide,97,Micro,226,True,7,False,10,6,642.43,0.69,0.091,40.34,682.77,0.022,4,189.64,2025-09-15,Instagram
LNC0130,CRE0340,Colour Analysis Guide,Beauty & Fashion,Template,37,Micro,2302,True,5,True,7,61,2281.37,0.615,0.11,154.33,2435.7,0.036,12,276.82,2024-08-14,TikTok
LNC0131,CRE0178,Phrase Book PDF,Language Learning,eBook,197,Mega,328454,True,4,True,3,10950,2157232.01,0.7,0.042,63422.62,2220654.63,0.027,9,602180.6,2025-10-22,TikTok
LNC0132,CRE0212,Confidence Course,Personal Development,Course,197,Micro,2613,True,5,False,10,88,17385.9,0.694,0.072,868.74,18254.64,0.076,14,4043.81,2025-10-15,YouTube
LNC0133,CRE0177,Activity Ideas Bundle,Parenting & Family,Template,47,Micro,3175,False,0,False,5,68,3219.61,0.765,0.01,24.63,3244.24,0.039,19,563.95,2024-05-23,YouTube
LNC0134,CRE0538,Script Template,Comedy & Entertainment,Bundle,37,Mid,46871,True,4,False,14,2331,86279.38,0.606,0.091,4757.96,91037.34,0.034,17,1156.76,2025-12-17,Instagram
LNC0135,CRE0499,Phrase Book PDF,Language Learning,Course,197,Macro,27907,True,6,False,10,1338,263738.44,0.61,0.053,8526.66,272265.1,0.035,5,56840.94,2025-08-17,Instagram
LNC0136,CRE0238,Styling Checklist,Home Decor & Interior Design,Course,47,Micro,4009,False,0,False,10,50,2369.0,0.584,0.01,13.83,2382.83,0.07,3,687.46,2025-06-15,Instagram
LNC0137,CRE0021,Packing List PDF,Travel & Adventure,eBook,17,Mid,20675,False,0,False,14,289,4927.55,0.55,0.01,27.1,4954.65,0.035,9,461.19,2025-01-10,TikTok
LNC0138,CRE0347,Investment Tracker,Finance & Investing,Preset Pack,47,Mid,16753,True,4,True,5,436,20526.69,0.557,0.039,445.9,20972.59,0.074,16,1275.64,2024-09-29,Twitter/X
