creator_id,username,niche,primary_platform,secondary_platform,follower_count,follower_tier,engagement_rate,monthly_revenue_usd,years_active,email_list_size,country,audience_age_group,audience_gender_primary,posts_per_week,joined_date
CRE0053,collinpatrick,Photography & Videography,Substack,LinkedIn,391072,Mid,0.4606,18545.15,3.9,8698,Cote d'Ivoire,35-44,Female,3.4,2020-12-11
CRE0054,raymond73,Home Decor & Interior Design,Substack,TikTok,348124,Mid,0.2435,9010.07,3.7,40720,Ukraine,35-44,Male,5.2,2021-04-03
CRE0055,gpayne,Home Decor & Interior Design,TikTok,Instagram,35242,Micro,0.0481,600.68,1.9,4088,Brazil,35-44,Mixed,4.5,2024-02-06
CRE0056,xlewis,Home Decor & Interior Design,YouTube,TikTok,655318,Macro,0.0581,4428.97,2.8,73423,Ukraine,25-34,Male,1.3,2018-10-30
CRE0057,austincompton,Pet Care,TikTok,YouTube,166206,Mid,0.0405,706.6,4.8,13466,Saint Lucia,45+,Male,2.1,2018-10-17
CRE0058,tflynn,Business & Entrepreneurship,LinkedIn,YouTube,18564,Micro,0.0154,128.69,4.8,2027,Guinea-Bissau,25-34,Female,5.9,2021-08-16
CRE0059,xmorales,Travel & Adventure,Instagram,Substack,64548,Micro,0.0204,330.83,3.4,8914,Malaysia,35-44,Mixed,6.9,2021-08-22
CRE0060,adamrichardson,Technology & Software,Twitter/X,Instagram,1416215,Mega,0.0134,18430.16,5.2,77047,France,18-24,Female,2.4,2024-05-28
CRE0061,wramos,Travel & Adventure,Instagram,LinkedIn,8381,Nano,0.0306,25.46,5.8,933,Tonga,45+,Female,5.1,2021-03-08
CRE0062,jeremy07,Education & Online Courses,LinkedIn,TikTok,39466,Micro,0.0172,392.07,6.7,1155,Maldives,25-34,Male,4.6,2024-08-07
CRE0063,blacknicolas,Home Decor & Interior Design,LinkedIn,Twitter/X,49857,Micro,0.0194,416.99,3.8,4873,Swaziland,45+,Mixed,2.9,2021-01-09
CRE0064,myersjames,Finance & Investing,YouTube,Substack,98381,Micro,0.0127,1148.62,4.9,2232,Antarctica (the territory South of 60 deg S),35-44,Mixed,1.2,2020-03-07
CRE0065,nicolecampbell,Sustainable Living,Twitter/X,LinkedIn,245834,Mid,0.0233,2530.34,7.8,19937,Estonia,45+,Male,2.9,2019-05-23
CRE0066,bsanders,Gaming & Esports,TikTok,Twitter/X,359768,Mid,0.0817,3191.47,6.6,32923,Korea,45+,Female,2.9,2021-11-04
CRE0067,roseford,Food & Cooking,LinkedIn,Twitter/X,932499,Macro,0.036,9417.56,0.9,81497,Bulgaria,45+,Mixed,3.7,2018-10-18
CRE0068,zhayes,Education & Online Courses,TikTok,Twitter/X,251010,Mid,0.058,2530.74,1.4,36775,Costa Rica,25-34,Mixed,2.0,2024-05-24
CRE0069,sherylwalker,Finance & Investing,Twitter/X,YouTube,217807,Mid,0.0332,1918.99,5.4,8715,Cook Islands,35-44,Mixed,5.2,2022-11-16
CRE0070,charris,Sustainable Living,LinkedIn,Instagram,82255,Micro,0.0242,352.09,7.4,7079,Falkland Islands (Malvinas),25-34,Female,2.7,2022-11-14
CRE0071,larrycampos,Parenting & Family,Twitter/X,LinkedIn,10336,Micro,0.019,96.79,7.0,806,Mongolia,45+,Male,3.0,2024-04-23
CRE0072,william60,Comedy & Entertainment,LinkedIn,Instagram,955921,Macro,0.0312,4874.36,4.8,48143,French Polynesia,45+,Female,2.9,2023-07-10
CRE0073,karen09,Comedy & Entertainment,LinkedIn,YouTube,4323539,Mega,0.0341,40314.22,1.4,629057,Argentina,35-44,Female,6.2,2023-02-26
CRE0074,kfleming,Food & Cooking,Twitter/X,LinkedIn,508046,Macro,0.005,4920.76,7.0,74222,British Indian Ocean Territory (Chagos Archipelago),18-24,Male,5.7,2021-03-10
CRE0075,tracystout,Parenting & Family,Twitter/X,Substack,440701,Mid,0.0247,4805.07,3.4,26955,Liechtenstein,45+,Mixed,1.2,2018-12-26
CRE0076,williamssteve,Photography & Videography,Substack,YouTube,250669,Mid,0.5083,18258.58,3.8,8221,Cyprus,18-24,Male,2.0,2021-07-29
CRE0077,wrighttodd,Finance & Investing,YouTube,Substack,17355,Micro,0.0369,82.1,3.6,1885,Egypt,25-34,Female,2.1,2025-01-19
CRE0078,ingramvicki,Comedy & Entertainment,Twitter/X,Instagram,360920,Mid,0.0256,5044.63,2.2,37148,Colombia,45+,Male,5.0,2023-06-08
CRE0079,mendozaerik,Home Decor & Interior Design,Substack,LinkedIn,138724,Mid,0.3339,4740.58,5.7,11013,Macao,35-44,Female,7.0,2023-08-21
CRE0080,christinajames,Food & Cooking,Instagram,LinkedIn,57049,Micro,0.0385,612.2,0.7,7296,Bhutan,45+,Male,1.0,2018-10-07
CRE0081,brussell,Sustainable Living,TikTok,Substack,220648,Mid,0.0469,2711.75,2.4,26086,Algeria,25-34,Mixed,1.6,2025-04-03
CRE0082,tinaeaton,Technology & Software,TikTok,Instagram,117492,Mid,0.0495,1369.33,1.2,6857,Libyan Arab Jamahiriya,45+,Female,2.2,2024-04-07
CRE0083,dawn55,Music & Audio Production,Twitter/X,LinkedIn,242882,Mid,0.0222,3041.3,7.8,14176,New Caledonia,35-44,Female,3.8,2019-01-23
CRE0084,kathryn96,Beauty & Fashion,Instagram,Twitter/X,879698,Macro,0.0279,9838.24,7.8,109607,Aruba,35-44,Female,5.7,2018-05-17
CRE0085,jessicasingleton,Business & Entrepreneurship,Twitter/X,TikTok,58311,Micro,0.0158,529.77,1.3,2938,Indonesia,18-24,Mixed,6.3,2024-07-06
CRE0086,jamesromero,Parenting & Family,Twitter/X,LinkedIn,18285,Micro,0.0121,171.24,7.3,1084,Nigeria,45+,Female,1.8,2018-08-20
CRE0087,robert55,Home Decor & Interior Design,LinkedIn,Substack,40775,Micro,0.0281,341.42,3.6,4750,Cook Islands,25-34,Male,4.9,2023-09-15
CRE0088,nwilson,Science & Space,TikTok,Twitter/X,7070,Nano,0.0537,45.34,7.6,927,Burundi,18-24,Mixed,3.2,2025-06-13
CRE0089,amymartin,Music & Audio Production,YouTube,Instagram,34878,Micro,0.0687,602.63,5.5,3607,Saudi Arabia,18-24,Female,5.7,2020-12-12
CRE0090,hkramer,Beauty & Fashion,Twitter/X,Instagram,82641,Micro,0.0171,394.02,6.6,4156,Moldova,25-34,Mixed,1.0,2019-11-03
CRE0091,john32,Beauty & Fashion,Twitter/X,TikTok,32871,Micro,0.0293,141.02,6.4,1674,Puerto Rico,35-44,Female,2.0,2018-10-21
CRE0092,angela17,Beauty & Fashion,Substack,LinkedIn,159584,Mid,0.6226,10904.98,3.9,10702,Cayman Islands,18-24,Male,4.0,2025-02-11
CRE0093,barrybrandon,Technology & Software,Substack,YouTube,445454,Mid,0.3019,20839.32,8.0,57975,French Polynesia,45+,Mixed,1.6,2023-03-11
CRE0094,rachel64,Travel & Adventure,YouTube,LinkedIn,29442,Micro,0.0382,108.1,5.2,2829,Falkland Islands (Malvinas),35-44,Male,7.0,2024-03-02
CRE0095,vparker,Home Decor & Interior Design,LinkedIn,Substack,325548,Mid,0.0345,4609.78,5.9,15611,Kiribati,45+,Female,3.5,2023-04-21
CRE0096,shannon42,Comedy & Entertainment,LinkedIn,TikTok,263865,Mid,0.0318,2179.72,3.3,10513,El Salvador,45+,Female,1.5,2019-03-05
CRE0097,robin99,Travel & Adventure,LinkedIn,Substack,58843,Micro,0.0286,595.13,4.7,6302,Cocos (Keeling) Islands,45+,Male,6.2,2022-12-17
CRE0098,ian53,Technology & Software,TikTok,Substack,284363,Mid,0.0388,1198.3,2.1,29964,Turks and Caicos Islands,25-34,Female,3.1,2024-06-15
CRE0099,connieparker,Music & Audio Production,YouTube,Substack,400993,Mid,0.0419,4329.96,5.1,41523,Azerbaijan,18-24,Mixed,6.6,2021-03-20
CRE0100,ashleyboone,Finance & Investing,Instagram,LinkedIn,50499,Micro,0.046,826.89,0.5,6720,Guatemala,45+,Female,1.9,2025-04-26
CRE0101,ryanmorales,Finance & Investing,YouTube,LinkedIn,212791,Mid,0.0306,993.26,5.9,25745,San Marino,18-24,Female,1.9,2025-02-22
CRE0102,vargasjustin,Technology & Software,Substack,LinkedIn,68079,Micro,0.5542,3838.84,5.1,5027,New Caledonia,25-34,Mixed,1.7,2023-01-14
CRE0103,amandawilliams,Food & Cooking,TikTok,Twitter/X,410973,Mid,0.0334,1345.47,7.9,11146,Belarus,25-34,Male,6.7,2019-10-04
CRE0104,ili,Business & Entrepreneurship,TikTok,Twitter/X,11013,Micro,0.0622,124.57,1.8,764,Latvia,25-34,Mixed,4.4,2025-09-16
CRE0105,anthony23,Music & Audio Production,YouTube,LinkedIn,15544,Micro,0.0277,55.15,4.8,1469,Uzbekistan,45+,Male,1.7,2018-06-14
CRE0106,jacksonbrad,Parenting & Family,Instagram,LinkedIn,824075,Macro,0.0395,7588.37,1.2,106950,Cyprus,25-34,Male,4.5,2024-02-04
CRE0107,cmontgomery,Travel & Adventure,LinkedIn,Substack,891016,Macro,0.0214,3982.07,5.2,79281,Kiribati,25-34,Male,3.1,2025-06-15
CRE0108,justin92,Beauty & Fashion,Instagram,Substack,43550,Micro,0.043,247.41,1.6,5168,Rwanda,18-24,Female,6.7,2025-04-05
CRE0109,kayla28,Sustainable Living,LinkedIn,Substack,498394,Mid,0.015,6201.79,2.9,72878,French Guiana,35-44,Female,3.6,2023-06-23
CRE0110,friedmancollin,Language Learning,Substack,TikTok,46002,Micro,0.3523,1646.68,4.3,2776,Egypt,45+,Female,1.3,2021-06-08
CRE0111,aaron55,Travel & Adventure,Substack,Twitter/X,948420,Macro,0.6029,38964.2,4.7,116595,Cayman Islands,18-24,Male,6.5,2024-08-17
CRE0112,hurleyjeffrey,Education & Online Courses,TikTok,YouTube,362860,Mid,0.073,2202.52,3.9,45511,Lao People's Democratic Republic,35-44,Mixed,1.5,2025-06-18
CRE0113,djohnson,Gaming & Esports,YouTube,LinkedIn,67377,Micro,0.0546,843.53,3.3,3825,Martinique,45+,Male,5.1,2018-10-21
CRE0114,popebrittany,Parenting & Family,YouTube,LinkedIn,83133,Micro,0.0392,1016.47,2.4,10865,Afghanistan,25-34,Male,1.5,2025-08-29
CRE0115,dcampbell,Beauty & Fashion,TikTok,YouTube,95990,Micro,0.0543,1177.56,2.8,6620,Isle of Man,35-44,Female,5.0,2024-02-14
CRE0116,elijah29,Travel & Adventure,Substack,TikTok,366594,Mid,0.3223,8697.81,2.8,52661,United States Minor Outlying Islands,35-44,Male,2.2,2019-10-05
CRE0117,sjohnson,Beauty & Fashion,YouTube,Substack,23256,Micro,0.0251,273.08,0.8,1483,Tuvalu,25-34,Mixed,3.3,2020-01-14
CRE0118,fjohnson,Gaming & Esports,Substack,YouTube,186790,Mid,0.4419,9324.35,3.6,20159,Czech Republic,25-34,Male,4.7,2023-04-02
CRE0119,pettyjason,Photography & Videography,Twitter/X,Substack,71474,Micro,0.0232,773.4,7.9,5719,Malaysia,35-44,Male,4.0,2022-11-29
CRE0120,wongjeremy,Gaming & Esports,Instagram,YouTube,572560,Macro,0.0311,8054.23,5.3,76514,Lithuania,18-24,Mixed,6.1,2019-08-13
CRE0121,lindsaywright,Home Decor & Interior Design,YouTube,Instagram,243021,Mid,0.0263,3164.65,7.6,11875,Philippines,45+,Male,6.6,2022-11-14
CRE0122,voneill,Technology & Software,LinkedIn,YouTube,223615,Mid,0.0278,1675.15,3.3,5291,Central African Republic,18-24,Mixed,4.9,2019-11-09
CRE0123,anna46,Beauty & Fashion,YouTube,Twitter/X,71925,Micro,0.0378,897.5,5.1,9908,Sri Lanka,18-24,Male,2.3,2019-11-23
CRE0124,andrewhicks,Pet Care,Substack,TikTok,321907,Mid,0.3804,4812.32,2.3,11537,Vanuatu,25-34,Male,4.8,2025-03-15
CRE0125,patricia45,Language Learning,YouTube,TikTok,75513,Micro,0.0382,746.56,5.9,4369,Armenia,18-24,Mixed,3.1,2024-08-13
CRE0126,bobbythomas,Science & Space,Instagram,LinkedIn,144886,Mid,0.0339,1403.58,1.0,12806,Belize,18-24,Male,6.2,2018-09-15
CRE0127,danderson,Comedy & Entertainment,TikTok,YouTube,12128,Micro,0.0558,83.35,6.3,1401,Madagascar,35-44,Female,1.3,2024-05-04
CRE0128,christine24,Parenting & Family,Substack,LinkedIn,99742,Micro,0.4895,3907.84,5.2,12517,United States of America,18-24,Mixed,5.7,2023-05-08
CRE0129,madelinehorne,Technology & Software,TikTok,Twitter/X,36144,Micro,0.0718,316.73,7.9,3274,Sao Tome and Principe,35-44,Female,5.5,2020-05-11
CRE0130,jose42,Home Decor & Interior Design,TikTok,LinkedIn,525063,Macro,0.0497,8377.38,2.5,65062,Barbados,45+,Male,5.5,2022-07-21
CRE0131,julian58,Parenting & Family,Instagram,YouTube,360845,Mid,0.0224,2061.39,6.0,10919,Cook Islands,25-34,Mixed,2.8,2019-05-15
CRE0132,vdaniels,Travel & Adventure,TikTok,Twitter/X,260692,Mid,0.0838,3094.92,1.7,20257,Croatia,45+,Female,5.4,2022-03-04
CRE0133,uwilson,Science & Space,TikTok,Instagram,130072,Mid,0.0828,1339.39,7.6,5015,Micronesia,45+,Female,1.8,2020-11-11
CRE0134,elewis,Music & Audio Production,TikTok,Instagram,84349,Micro,0.0716,336.36,5.6,12091,Bangladesh,35-44,Male,5.6,2024-08-26
CRE0135,jessica55,Beauty & Fashion,Twitter/X,Instagram,51207,Micro,0.0173,188.28,4.2,3600,Libyan Arab Jamahiriya,18-24,Male,5.6,2023-03-22
CRE0136,ytanner,Education & Online Courses,Twitter/X,Instagram,74382,Micro,0.0163,346.18,6.9,5858,Mauritius,45+,Female,5.9,2021-10-20
CRE0137,isabel86,Music & Audio Production,Substack,Instagram,81063,Micro,0.4214,1511.04,6.5,6982,Comoros,18-24,Female,5.8,2020-11-14
CRE0138,perryjodi,Sustainable Living,YouTube,Substack,85009,Micro,0.0498,724.47,1.5,11472,Hungary,18-24,Male,3.4,2023-08-02
CRE0139,kingbrandon,Personal Development,LinkedIn,Twitter/X,401413,Mid,0.043,4835.2,4.0,35026,Vanuatu,25-34,Mixed,4.8,2020-04-04
CRE0140,robert70,Beauty & Fashion,LinkedIn,Substack,129052,Mid,0.034,1783.58,1.6,5343,Czech Republic,35-44,Mixed,2.4,2024-01-14
CRE0141,isabellabeasley,Home Decor & Interior Design,YouTube,Substack,93238,Micro,0.0493,1148.47,4.5,7956,Japan,25-34,Mixed,6.6,2019-12-12
CRE0142,mroth,Gaming & Esports,Substack,Twitter/X,417267,Mid,0.4207,11680.91,0.8,55200,Qatar,18-24,Female,6.7,2024-09-07
CRE0143,gutierrezjohn,Business & Entrepreneurship,Substack,Twitter/X,84991,Micro,0.2832,2273.41,2.7,12269,Thailand,45+,Female,5.8,2022-10-09
CRE0144,mmullen,Home Decor & Interior Design,LinkedIn,Twitter/X,17852,Micro,0.0304,83.36,4.1,830,Fiji,25-34,Male,6.2,2021-10-18
CRE0145,catherine90,Music & Audio Production,LinkedIn,YouTube,58567,Micro,0.0215,314.34,2.5,3058,Cameroon,18-24,Female,2.7,2022-07-11
CRE0146,mariamoreno,Science & Space,Instagram,LinkedIn,4784565,Mega,0.0345,23147.54,7.5,544228,American Samoa,25-34,Female,4.0,2023-12-28
CRE0147,amccarthy,Language Learning,LinkedIn,Instagram,760765,Macro,0.0429,7669.12,2.1,50116,Zimbabwe,18-24,Male,4.0,2025-07-21
CRE0148,jasmine73,Sustainable Living,TikTok,LinkedIn,156359,Mid,0.0663,1640.57,6.0,18653,Saint Martin,35-44,Female,3.4,2024-08-11
CRE0149,jeremybenitez,Pet Care,Instagram,LinkedIn,47827,Micro,0.0461,673.88,6.7,4831,Zimbabwe,18-24,Female,6.9,2022-08-20
CRE0150,theresa22,Music & Audio Production,TikTok,Instagram,291683,Mid,0.0695,4721.37,5.0,21053,China,18-24,Female,1.2,2021-12-14
CRE0151,teresacooper,Sustainable Living,Twitter/X,TikTok,417855,Mid,0.0226,5795.89,1.7,62168,Tonga,35-44,Mixed,3.0,2023-12-07
CRE0152,bherring,Pet Care,LinkedIn,YouTube,257176,Mid,0.0224,2124.45,3.3,27670,Niger,45+,Mixed,2.8,2025-04-10
CRE0153,beth41,Finance & Investing,Twitter/X,YouTube,443718,Mid,0.0221,4213.07,4.9,18710,Germany,45+,Female,5.9,2020-12-07
CRE0154,brittanyhamilton,Technology & Software,Twitter/X,LinkedIn,557616,Macro,0.0098,2392.63,2.9,22129,Mauritius,25-34,Male,4.0,2025-01-27
CRE0155,tiffany36,Sustainable Living,Substack,LinkedIn,470029,Mid,0.5095,15041.76,4.4,28572,Czech Republic,25-34,Male,6.5,2022-01-21
CRE0156,obarnes,Pet Care,TikTok,LinkedIn,477972,Mid,0.0694,7131.26,5.1,21506,Turks and Caicos Islands,25-34,Male,4.3,2020-09-27
CRE0157,bonniehicks,Home Decor & Interior Design,TikTok,LinkedIn,461884,Mid,0.0556,3944.2,2.7,43672,Iran,45+,Male,5.9,2019-11-10
CRE0158,htucker,Home Decor & Interior Design,YouTube,Twitter/X,20358,Micro,0.0299,144.49,5.4,2385,Timor-Leste,25-34,Female,6.0,2021-04-04
CRE0159,adamboyer,Pet Care,Substack,Twitter/X,24316,Micro,0.3159,447.46,2.2,1222,Mali,18-24,Male,3.0,2023-07-07
CRE0160,wmoore,Food & Cooking,Substack,Instagram,102716,Mid,0.3307,5151.81,3.6,14539,Timor-Leste,45+,Male,4.9,2021-06-09
CRE0161,smithrebecca,Parenting & Family,TikTok,YouTube,146903,Mid,0.0525,2102.91,7.3,6281,Montenegro,25-34,Female,7.0,2022-09-02
CRE0162,rothbrendan,Sustainable Living,Instagram,YouTube,957331,Macro,0.0288,13884.55,0.6,89831,Cocos (Keeling) Islands,18-24,Male,2.7,2025-05-29
CRE0163,cporter,Pet Care,Twitter/X,YouTube,170359,Mid,0.024,829.8,3.0,19599,Taiwan,35-44,Mixed,2.1,2021-12-30
CRE0164,parkskatie,Home Decor & Interior Design,Twitter/X,LinkedIn,201272,Mid,0.0146,866.11,6.7,17507,Botswana,18-24,Male,5.0,2020-04-15
CRE0165,benjaminwebster,Beauty & Fashion,LinkedIn,TikTok,42512,Micro,0.0324,364.02,7.7,2518,Bouvet Island (Bouvetoya),18-24,Male,4.9,2020-11-12
CRE0166,harristony,Technology & Software,Substack,Twitter/X,50213,Micro,0.4557,1003.73,7.4,6799,Afghanistan,35-44,Mixed,1.7,2021-07-11
CRE0167,dawngarcia,Music & Audio Production,Twitter/X,TikTok,27507,Micro,0.0135,371.16,3.6,2514,Benin,45+,Mixed,5.8,2020-08-31
CRE0168,owalker,Photography & Videography,Substack,Twitter/X,142923,Mid,0.4703,5913.53,5.8,4309,Yemen,18-24,Female,6.0,2023-11-20
CRE0169,chungmark,Education & Online Courses,Twitter/X,Instagram,186264,Mid,0.0166,686.82,5.9,15561,Mongolia,45+,Female,3.7,2023-12-22
CRE0170,calvin50,Science & Space,LinkedIn,TikTok,392970,Mid,0.033,3461.92,5.9,28086,Sudan,18-24,Mixed,2.3,2019-01-14
CRE0171,jessicataylor,Technology & Software,LinkedIn,Twitter/X,18357,Micro,0.0224,245.86,0.7,1342,Cyprus,25-34,Mixed,6.9,2025-06-17
