campaign_id,creator_id,campaign_type,niche,email_list_size,emails_sent,open_rate,click_rate,conversion_rate,unsubscribe_rate,revenue_generated_usd,revenue_per_email_usd,ai_generated_copy,send_date,send_day_of_week,subject_line_length,has_emoji_in_subject,sequence_number
EML0023,CRE0264,Re-engagement,Personal Development,6449,6152,0.16,0.051,0.0068,0.0056,0.0,0.0,True,2025-04-07,Monday,45,True,1
EML0024,CRE0437,Product Launch,Finance & Investing,2179,2059,0.384,0.117,0.0174,0.0022,1928.59,1.97,False,2025-11-18,Thursday,75,True,5
EML0025,CRE0285,Abandoned Cart Recovery,Travel & Adventure,6346,5937,0.552,0.055,0.0086,0.0108,11328.68,5.88,False,2025-11-22,Thursday,48,False,2
EML0026,CRE0046,Weekly Newsletter,Photography & Videography,5598,5511,0.303,0.046,0.0065,0.0141,0.0,0.0,False,2025-11-03,Thursday,52,True,1
EML0027,CRE0480,Product Launch,Parenting & Family,7742,7414,0.317,0.091,0.0065,0.0019,24432.68,10.94,True,2026-02-18,Friday,46,True,1
EML0028,CRE0002,Abandoned Cart Recovery,Personal Development,9002,8976,0.552,0.092,0.0181,0.0127,28069.47,6.14,False,2026-03-15,Friday,38,True,2
EML0029,CRE0120,Weekly Newsletter,Education & Online Courses,1820,1714,0.245,0.08,0.0081,0.0134,0.0,0.0,True,2025-07-15,Thursday,30,False,1
EML0030,CRE0388,Product Launch,Food & Cooking,14598,13524,0.527,0.165,0.0258,0.0067,27418.37,2.16,False,2025-09-18,Wednesday,72,False,2
EML0031,CRE0260,New Content Alert,Photography & Videography,6137,5841,0.245,0.046,0.0085,0.0094,0.0,0.0,False,2025-12-15,Wednesday,58,False,5
EML0032,CRE0440,Product Launch,Home Decor & Interior Design,4023,3975,0.522,0.091,0.0154,0.0071,13205.05,6.91,True,2025-05-05,Thursday,37,False,1
EML0033,CRE0487,Re-engagement,Education & Online Courses,12601,11829,0.249,0.073,0.0126,0.0097,0.0,0.0,True,2025-09-04,Friday,39,False,3
EML0034,CRE0020,Re-engagement,Parenting & Family,5649,5366,0.221,0.062,0.0105,0.0096,0.0,0.0,False,2025-07-03,Friday,75,True,4
EML0035,CRE0540,Abandoned Cart Recovery,Finance & Investing,1507,1424,0.443,0.053,0.0029,0.0132,205.22,0.58,False,2025-07-27,Wednesday,30,True,2
EML0036,CRE0567,Product Launch,Gaming & Esports,13632,12738,0.495,0.157,0.0186,0.0093,85282.58,8.05,True,2025-06-11,Monday,30,False,2
EML0037,CRE0119,Weekly Newsletter,Personal Development,6090,5616,0.356,0.107,0.0067,0.0042,0.0,0.0,False,2025-08-23,Monday,42,False,2
EML0038,CRE0599,Product Launch,Business & Entrepreneurship,4725,4578,0.488,0.083,0.0063,0.0028,7272.49,3.8,True,2025-11-24,Monday,62,False,3
EML0039,CRE0170,Product Launch,Pet Care,11089,10890,0.356,0.052,0.0048,0.0149,8560.16,4.17,False,2026-02-23,Tuesday,58,False,4
EML0040,CRE0024,Promotional Offer,Technology & Software,12816,12367,0.321,0.091,0.0112,0.0113,16547.07,4.42,False,2025-05-19,Wednesday,41,True,2
EML0041,CRE0410,Weekly Newsletter,Food & Cooking,11345,10699,0.315,0.095,0.0112,0.0103,0.0,0.0,False,2026-02-13,Monday,61,False,1
EML0042,CRE0406,Promotional Offer,Finance & Investing,2904,2847,0.198,0.03,0.0048,0.0081,1897.47,11.0,False,2025-10-15,Monday,43,True,2
EML0043,CRE0316,Weekly Newsletter,Comedy & Entertainment,14827,14575,0.336,0.08,0.0137,0.0024,0.0,0.0,False,2025-09-13,Wednesday,38,True,2
EML0044,CRE0247,Promotional Offer,Travel & Adventure,10394,10333,0.177,0.041,0.0068,0.0057,5777.88,7.66,False,2025-05-21,Monday,61,True,5
EML0045,CRE0365,Abandoned Cart Recovery,Science & Space,526,524,0.602,0.198,0.0384,0.0076,7435.88,11.86,True,2025-07-04,Monday,49,False,4
EML0046,CRE0588,Abandoned Cart Recovery,Language Learning,12883,12823,0.364,0.088,0.0064,0.0037,40400.22,9.79,False,2025-10-30,Friday,42,True,1
EML0047,CRE0473,New Content Alert,Beauty & Fashion,7603,7494,0.415,0.106,0.0055,0.0128,0.0,0.0,False,2025-04-18,Thursday,67,False,1
EML0048,CRE0320,Abandoned Cart Recovery,Science & Space,9655,9023,0.375,0.095,0.0174,0.0082,33983.19,9.88,False,2025-03-19,Thursday,49,False,2
EML0049,CRE0056,Re-engagement,Food & Cooking,14011,13508,0.221,0.029,0.0025,0.0011,0.0,0.0,False,2025-04-14,Monday,70,False,3
EML0050,CRE0041,Abandoned Cart Recovery,Beauty & Fashion,14930,14757,0.552,0.136,0.0232,0.0129,100201.75,8.94,False,2025-11-20,Tuesday,75,True,4
EML0051,CRE0120,Promotional Offer,Pet Care,582,576,0.205,0.031,0.0049,0.0145,122.79,3.32,True,2026-01-05,Monday,42,False,2
EML0052,CRE0417,Promotional Offer,Sustainable Living,5636,5353,0.294,0.06,0.0102,0.0069,11303.94,11.37,False,2025-06-24,Friday,75,True,3
EML0053,CRE0520,Weekly Newsletter,Language Learning,12983,11959,0.306,0.098,0.007,0.0124,0.0,0.0,False,2025-05-31,Monday,37,True,5
EML0054,CRE0026,New Content Alert,Beauty & Fashion,566,525,0.44,0.13,0.0204,0.0083,0.0,0.0,False,2026-01-20,Wednesday,30,True,3
EML0055,CRE0074,Promotional Offer,Finance & Investing,14856,14099,0.189,0.02,0.0019,0.0011,4745.15,8.45,False,2025-10-23,Thursday,56,False,5
EML0056,CRE0002,Product Launch,Parenting & Family,8016,7825,0.414,0.09,0.0068,0.0021,6302.07,2.11,False,2026-01-07,Tuesday,50,False,3
EML0057,CRE0160,Abandoned Cart Recovery,Home Decor & Interior Design,10750,9954,0.507,0.137,0.015,0.0109,63393.49,8.49,True,2025-08-14,Tuesday,47,False,1
EML0058,CRE0315,Abandoned Cart Recovery,Personal Development,1588,1565,0.55,0.066,0.007,0.0038,576.44,1.0,False,2025-08-10,Wednesday,53,False,4
EML0059,CRE0232,Weekly Newsletter,Gaming & Esports,7521,7385,0.285,0.067,0.0044,0.0095,0.0,0.0,False,2025-05-05,Wednesday,58,False,2
EML0060,CRE0468,Product Launch,Personal Development,4566,4325,0.451,0.104,0.0107,0.0064,23343.84,10.9,True,2025-10-25,Thursday,74,False,4
EML0061,CRE0037,Product Launch,Music & Audio Production,4054,3933,0.481,0.072,0.011,0.0131,8044.81,5.73,True,2026-01-04,Friday,68,True,3
EML0062,CRE0279,Weekly Newsletter,Home Decor & Interior Design,14972,14023,0.364,0.126,0.0225,0.0109,0.0,0.0,False,2026-02-01,Wednesday,32,True,4
EML0063,CRE0355,Abandoned Cart Recovery,Personal Development,8002,7436,0.597,0.166,0.0205,0.0147,86517.85,10.91,False,2025-12-27,Friday,30,True,5
EML0064,CRE0499,Abandoned Cart Recovery,Finance & Investing,13448,12887,0.583,0.107,0.0089,0.0072,71390.36,8.51,True,2025-06-05,Tuesday,45,True,2
EML0065,CRE0462,New Content Alert,Home Decor & Interior Design,3901,3816,0.239,0.066,0.009,0.015,0.0,0.0,False,2025-06-11,Thursday,75,True,1
EML0066,CRE0071,Abandoned Cart Recovery,Home Decor & Interior Design,7373,6809,0.378,0.077,0.0129,0.0145,6244.82,2.91,True,2025-08-12,Monday,43,True,2
EML0067,CRE0033,New Content Alert,Business & Entrepreneurship,5701,5559,0.324,0.056,0.0102,0.0112,0.0,0.0,True,2025-11-14,Monday,61,False,2
EML0068,CRE0326,Product Launch,Beauty & Fashion,1198,1183,0.472,0.116,0.0171,0.0127,695.28,1.06,False,2025-12-22,Monday,39,False,4
EML0069,CRE0211,Weekly Newsletter,Gaming & Esports,14388,14159,0.319,0.052,0.0044,0.0054,0.0,0.0,True,2025-03-21,Friday,46,True,3
EML0070,CRE0245,Re-engagement,Parenting & Family,10182,9861,0.157,0.02,0.0026,0.0091,0.0,0.0,False,2025-12-30,Friday,66,True,4
EML0071,CRE0551,Re-engagement,Sustainable Living,12922,12862,0.184,0.035,0.0036,0.0091,0.0,0.0,False,2025-04-11,Friday,44,False,5
EML0072,CRE0107,Product Launch,Business & Entrepreneurship,793,763,0.416,0.08,0.0093,0.0143,921.05,3.49,False,2025-06-19,Tuesday,40,True,2
EML0073,CRE0466,New Content Alert,Music & Audio Production,13928,13250,0.416,0.101,0.007,0.0088,0.0,0.0,True,2025-12-08,Wednesday,56,False,4
EML0074,CRE0572,New Content Alert,Music & Audio Production,832,795,0.34,0.082,0.0105,0.0098,0.0,0.0,True,2026-03-10,Monday,47,True,4
EML0075,CRE0503,Promotional Offer,Sustainable Living,5208,4993,0.312,0.054,0.009,0.0026,4746.97,5.41,False,2025-11-25,Monday,68,True,1
EML0076,CRE0386,Promotional Offer,Pet Care,9530,9509,0.259,0.057,0.008,0.0019,4094.12,2.91,False,2026-02-15,Monday,45,True,1
EML0077,CRE0554,Weekly Newsletter,Food & Cooking,4868,4715,0.392,0.134,0.0084,0.0029,0.0,0.0,True,2025-11-14,Tuesday,58,False,1
EML0078,CRE0268,New Content Alert,Food & Cooking,14352,14291,0.431,0.054,0.0107,0.0127,0.0,0.0,False,2025-06-04,Wednesday,69,True,3
EML0079,CRE0488,Abandoned Cart Recovery,Business & Entrepreneurship,11268,10807,0.63,0.154,0.0159,0.0089,32359.35,2.96,True,2025-07-19,Wednesday,44,False,2
EML0080,CRE0243,Promotional Offer,Home Decor & Interior Design,10965,10248,0.297,0.074,0.0102,0.0048,9302.17,3.86,False,2026-02-01,Tuesday,48,True,3
EML0081,CRE0080,Weekly Newsletter,Travel & Adventure,337,318,0.305,0.04,0.0026,0.0016,0.0,0.0,False,2025-10-10,Thursday,39,False,3
EML0082,CRE0105,Abandoned Cart Recovery,Business & Entrepreneurship,1129,1099,0.32,0.081,0.0131,0.0071,3280.46,11.21,False,2025-10-15,Wednesday,55,True,4
EML0083,CRE0165,Weekly Newsletter,Language Learning,7235,6957,0.314,0.081,0.0087,0.0015,0.0,0.0,True,2025-07-14,Tuesday,45,False,1
EML0084,CRE0540,Re-engagement,Pet Care,4826,4627,0.146,0.047,0.0039,0.0126,0.0,0.0,True,2025-06-17,Thursday,49,False,3
EML0085,CRE0462,Abandoned Cart Recovery,Music & Audio Production,10406,10310,0.449,0.122,0.0075,0.0029,61448.14,10.78,False,2025-07-01,Monday,47,False,4
EML0086,CRE0026,New Content Alert,Sustainable Living,9840,9691,0.238,0.074,0.0125,0.0041,0.0,0.0,False,2025-06-20,Thursday,74,False,4
EML0087,CRE0547,Re-engagement,Finance & Investing,13941,13202,0.251,0.077,0.0092,0.0072,0.0,0.0,False,2025-10-16,Thursday,31,True,5
EML0088,CRE0171,Weekly Newsletter,Photography & Videography,762,740,0.292,0.071,0.0132,0.0045,0.0,0.0,True,2025-04-22,Thursday,69,False,2
EML0089,CRE0005,Product Launch,Language Learning,7512,7289,0.41,0.058,0.008,0.0125,2983.21,1.67,True,2025-10-22,Wednesday,66,True,4
EML0090,CRE0055,Promotional Offer,Education & Online Courses,7606,7372,0.304,0.062,0.0106,0.0043,6780.83,4.73,False,2026-03-03,Wednesday,64,False,1
EML0091,CRE0470,New Content Alert,Home Decor & Interior Design,6812,6392,0.284,0.033,0.0019,0.0023,0.0,0.0,True,2025-10-20,Wednesday,59,True,3
EML0092,CRE0096,New Content Alert,Sustainable Living,4083,3819,0.256,0.068,0.0108,0.0132,0.0,0.0,False,2025-05-24,Thursday,75,True,5
EML0093,CRE0163,Promotional Offer,Pet Care,5937,5707,0.22,0.062,0.0085,0.0016,6616.12,8.17,True,2026-03-15,Friday,56,True,3
EML0094,CRE0527,Re-engagement,Technology & Software,1993,1906,0.249,0.05,0.0086,0.0098,0.0,0.0,False,2025-10-14,Monday,49,True,5
EML0095,CRE0120,Abandoned Cart Recovery,Photography & Videography,7533,7222,0.567,0.067,0.0056,0.0104,16683.78,5.83,False,2025-08-24,Wednesday,73,False,4
EML0096,CRE0051,Promotional Offer,Personal Development,12806,12306,0.264,0.067,0.0042,0.0133,23240.19,10.26,True,2025-09-17,Friday,54,True,4
EML0097,CRE0508,Abandoned Cart Recovery,Finance & Investing,373,348,0.316,0.076,0.0118,0.0016,165.72,1.85,True,2025-11-19,Friday,40,False,4
EML0098,CRE0091,Abandoned Cart Recovery,Education & Online Courses,7463,7372,0.493,0.05,0.009,0.0099,15931.19,8.66,False,2025-08-04,Tuesday,75,False,5
EML0099,CRE0403,Weekly Newsletter,Business & Entrepreneurship,12305,11737,0.364,0.041,0.0038,0.004,0.0,0.0,False,2025-04-09,Wednesday,52,True,5
EML0100,CRE0388,Abandoned Cart Recovery,Science & Space,10336,10256,0.623,0.17,0.0334,0.0049,10290.05,0.94,False,2025-12-13,Wednesday,59,True,5
EML0101,CRE0146,Product Launch,Food & Cooking,10106,9970,0.436,0.087,0.0045,0.0018,40097.45,10.46,True,2025-05-23,Thursday,70,False,3
EML0102,CRE0454,New Content Alert,Sustainable Living,14512,14345,0.318,0.077,0.0152,0.0134,0.0,0.0,False,2025-12-07,Friday,52,False,4
EML0103,CRE0232,Promotional Offer,Education & Online Courses,5776,5640,0.334,0.051,0.0041,0.0118,1544.7,1.57,False,2025-07-31,Wednesday,70,True,3
EML0104,CRE0096,Abandoned Cart Recovery,Science & Space,12750,11800,0.605,0.128,0.0229,0.0141,61216.32,6.2,False,2025-05-03,Monday,69,True,2
EML0105,CRE0378,Re-engagement,Parenting & Family,5857,5436,0.165,0.053,0.0105,0.0063,0.0,0.0,True,2025-04-19,Thursday,71,True,4
EML0106,CRE0210,Abandoned Cart Recovery,Beauty & Fashion,12281,11597,0.386,0.132,0.0231,0.008,23653.03,3.78,True,2026-01-15,Wednesday,61,True,4
EML0107,CRE0146,Weekly Newsletter,Music & Audio Production,6976,6816,0.32,0.053,0.0041,0.0021,0.0,0.0,False,2025-06-20,Monday,62,True,2
EML0108,CRE0448,Abandoned Cart Recovery,Technology & Software,13900,13051,0.466,0.051,0.01,0.0043,20712.78,6.27,False,2025-07-30,Friday,51,False,2
EML0109,CRE0542,Abandoned Cart Recovery,Travel & Adventure,3393,3285,0.597,0.078,0.0088,0.013,1279.79,0.81,False,2025-08-05,Friday,30,True,4
EML0110,CRE0057,Re-engagement,Gaming & Esports,10365,10160,0.195,0.048,0.0086,0.0065,0.0,0.0,False,2026-02-05,Tuesday,38,True,1
EML0111,CRE0006,Promotional Offer,Gaming & Esports,6366,6172,0.32,0.052,0.0094,0.0103,12584.51,11.88,False,2025-04-08,Friday,58,True,3
EML0112,CRE0485,Promotional Offer,Parenting & Family,946,908,0.278,0.042,0.007,0.0017,1023.92,9.27,False,2025-09-16,Monday,68,False,2
EML0113,CRE0028,New Content Alert,Finance & Investing,11549,10878,0.422,0.132,0.022,0.0086,0.0,0.0,True,2025-04-06,Wednesday,61,True,4
EML0114,CRE0507,Product Launch,Parenting & Family,499,493,0.452,0.108,0.0184,0.0106,2070.53,8.5,True,2025-12-10,Friday,33,False,5
EML0115,CRE0003,Promotional Offer,Pet Care,1135,1111,0.256,0.059,0.0089,0.0077,1626.87,9.49,True,2026-02-25,Monday,52,False,4
EML0116,CRE0578,Product Launch,Science & Space,12487,11940,0.44,0.062,0.008,0.0018,30624.02,8.99,False,2026-02-09,Monday,62,False,2
EML0117,CRE0196,Weekly Newsletter,Music & Audio Production,4061,3974,0.312,0.094,0.0144,0.0112,0.0,0.0,False,2025-08-04,Tuesday,42,True,4
EML0118,CRE0083,Product Launch,Food & Cooking,11108,10325,0.437,0.132,0.026,0.0011,5959.01,0.93,False,2025-07-08,Monday,72,False,1
EML0119,CRE0562,Product Launch,Comedy & Entertainment,9801,9233,0.464,0.156,0.0208,0.0015,40934.43,5.77,True,2025-09-13,Friday,66,False,5
EML0120,CRE0162,Promotional Offer,Gaming & Esports,9847,9084,0.184,0.045,0.0089,0.0133,6596.03,8.09,True,2025-04-06,Wednesday,71,False,1
EML0121,CRE0395,Product Launch,Education & Online Courses,3570,3297,0.435,0.088,0.013,0.0077,3184.17,2.33,True,2026-03-05,Thursday,48,False,4
EML0122,CRE0165,Abandoned Cart Recovery,Pet Care,7691,7140,0.588,0.105,0.0127,0.0101,53039.89,11.17,False,2025-09-06,Tuesday,64,False,4
EML0123,CRE0109,New Content Alert,Comedy & Entertainment,13610,13247,0.254,0.066,0.0071,0.0099,0.0,0.0,True,2025-08-19,Wednesday,36,True,4
EML0124,CRE0162,New Content Alert,Pet Care,3407,3154,0.245,0.077,0.0103,0.0139,0.0,0.0,True,2025-11-04,Thursday,41,False,4
EML0125,CRE0046,Promotional Offer,Parenting & Family,4781,4604,0.345,0.117,0.0124,0.0016,11694.89,6.06,False,2026-02-12,Wednesday,74,True,3
EML0126,CRE0491,New Content Alert,Gaming & Esports,14024,13357,0.353,0.086,0.0075,0.0143,0.0,0.0,True,2026-02-01,Wednesday,31,True,1
EML0127,CRE0431,Promotional Offer,Technology & Software,3161,3047,0.246,0.062,0.005,0.0062,2748.06,5.7,True,2025-07-02,Thursday,53,False,5
EML0128,CRE0131,Re-engagement,Technology & Software,4514,4235,0.202,0.044,0.0023,0.0094,0.0,0.0,True,2025-12-24,Thursday,32,True,5
EML0129,CRE0072,Re-engagement,Science & Space,13944,13394,0.239,0.059,0.0064,0.007,0.0,0.0,True,2025-10-25,Thursday,46,False,1
EML0130,CRE0367,Re-engagement,Business & Entrepreneurship,5677,5363,0.251,0.067,0.0133,0.0013,0.0,0.0,False,2025-09-08,Monday,48,True,5
EML0131,CRE0195,New Content Alert,Finance & Investing,12260,12081,0.279,0.03,0.0024,0.0053,0.0,0.0,True,2025-11-25,Thursday,58,False,1
EML0132,CRE0550,Product Launch,Education & Online Courses,1041,1025,0.46,0.101,0.0181,0.0135,4497.93,9.3,True,2026-01-26,Tuesday,41,True,4
EML0133,CRE0226,Abandoned Cart Recovery,Education & Online Courses,14663,14164,0.392,0.109,0.0162,0.0086,50434.91,8.05,False,2025-06-03,Tuesday,34,False,5
EML0134,CRE0504,New Content Alert,Personal Development,10630,9798,0.228,0.023,0.002,0.0111,0.0,0.0,True,2026-03-16,Wednesday,51,False,5
EML0135,CRE0032,Abandoned Cart Recovery,Parenting & Family,4875,4685,0.478,0.154,0.0189,0.0057,33983.9,9.47,False,2025-05-16,Monday,72,False,5
EML0136,CRE0352,Weekly Newsletter,Beauty & Fashion,12361,11478,0.278,0.049,0.0073,0.0017,0.0,0.0,True,2025-08-02,Thursday,62,False,2
EML0137,CRE0040,Abandoned Cart Recovery,Pet Care,8503,7842,0.508,0.1,0.0151,0.0113,15593.48,3.61,True,2026-02-15,Monday,67,True,3
EML0138,CRE0124,Abandoned Cart Recovery,Business & Entrepreneurship,9049,8564,0.479,0.142,0.0249,0.0039,63457.52,10.31,True,2025-07-25,Friday,42,True,1
EML0139,CRE0425,Weekly Newsletter,Music & Audio Production,12823,12594,0.222,0.024,0.0043,0.0017,0.0,0.0,False,2025-08-02,Monday,31,True,4
EML0140,CRE0325,Product Launch,Sustainable Living,14637,14309,0.27,0.035,0.0069,0.0071,15920.59,11.51,False,2025-11-14,Monday,60,False,2
EML0141,CRE0165,Promotional Offer,Finance & Investing,1768,1648,0.305,0.066,0.0068,0.0064,992.96,2.79,False,2026-02-12,Tuesday,59,False,4
EML0142,CRE0560,Weekly Newsletter,Comedy & Entertainment,3744,3683,0.351,0.12,0.0195,0.0021,0.0,0.0,True,2025-12-05,Wednesday,45,False,5
EML0143,CRE0285,Product Launch,Beauty & Fashion,11923,11239,0.5,0.16,0.0093,0.015,18218.34,1.91,False,2025-04-19,Thursday,61,False,1
EML0144,CRE0194,Product Launch,Photography & Videography,5328,4986,0.304,0.055,0.0097,0.0061,10413.94,11.69,True,2025-04-05,Wednesday,54,False,4
EML0145,CRE0111,Promotional Offer,Technology & Software,6692,6545,0.317,0.086,0.0118,0.014,19356.6,10.61,False,2025-06-09,Friday,41,False,2
EML0146,CRE0031,Abandoned Cart Recovery,Finance & Investing,6301,5867,0.572,0.142,0.0098,0.0011,18219.81,3.56,False,2026-01-21,Tuesday,62,True,2
EML0147,CRE0151,Promotional Offer,Comedy & Entertainment,7430,6875,0.324,0.034,0.0038,0.0092,3437.65,4.2,False,2025-04-11,Tuesday,61,True,1
EML0148,CRE0047,Promotional Offer,Education & Online Courses,9157,8884,0.18,0.063,0.0032,0.0053,8743.36,8.42,True,2025-07-13,Tuesday,35,False,4
EML0149,CRE0268,Weekly Newsletter,Business & Entrepreneurship,14999,13928,0.349,0.109,0.0169,0.0129,0.0,0.0,True,2025-08-01,Wednesday,60,True,1
EML0150,CRE0340,New Content Alert,Home Decor & Interior Design,7664,7311,0.305,0.085,0.0077,0.005,0.0,0.0,True,2026-02-12,Tuesday,41,True,4
EML0151,CRE0136,Promotional Offer,Technology & Software,14350,13603,0.301,0.042,0.0045,0.0077,16327.14,9.0,False,2025-05-20,Friday,70,False,3
EML0152,CRE0542,Abandoned Cart Recovery,Gaming & Esports,8127,8060,0.587,0.135,0.0099,0.0092,12558.47,1.95,False,2025-04-13,Tuesday,30,False,4
EML0153,CRE0418,Weekly Newsletter,Science & Space,14074,13861,0.207,0.032,0.0064,0.0062,0.0,0.0,False,2025-11-26,Monday,48,True,4
EML0154,CRE0318,Promotional Offer,Music & Audio Production,8408,7795,0.296,0.056,0.009,0.0121,6202.01,4.45,True,2025-10-23,Friday,43,True,4
EML0155,CRE0477,Abandoned Cart Recovery,Education & Online Courses,8087,7651,0.541,0.166,0.0105,0.0015,85626.19,11.79,False,2025-07-11,Monday,54,True,2
EML0156,CRE0462,Promotional Offer,Pet Care,7777,7584,0.253,0.063,0.0074,0.015,4053.41,3.27,True,2026-02-13,Thursday,44,True,3
EML0157,CRE0099,New Content Alert,Technology & Software,11101,10977,0.273,0.031,0.0039,0.0109,0.0,0.0,True,2025-06-10,Friday,56,True,1
EML0158,CRE0446,Promotional Offer,Sustainable Living,11937,11641,0.189,0.049,0.0088,0.0075,7572.58,6.85,True,2026-01-03,Thursday,69,True,3
EML0159,CRE0137,Abandoned Cart Recovery,Education & Online Courses,13054,12505,0.37,0.062,0.0082,0.0149,4162.48,1.39,True,2025-06-30,Wednesday,66,True,5
EML0160,CRE0279,Re-engagement,Beauty & Fashion,10464,10130,0.145,0.025,0.0026,0.0118,0.0,0.0,True,2025-11-20,Wednesday,33,False,3
EML0161,CRE0348,Re-engagement,Travel & Adventure,5255,4909,0.152,0.033,0.0042,0.0085,0.0,0.0,False,2025-04-05,Friday,69,False,3
EML0162,CRE0500,Weekly Newsletter,Sustainable Living,8850,8368,0.387,0.045,0.0078,0.0029,0.0,0.0,True,2025-11-29,Wednesday,72,True,3
EML0163,CRE0156,New Content Alert,Business & Entrepreneurship,266,250,0.375,0.088,0.0047,0.0065,0.0,0.0,True,2026-02-02,Wednesday,71,False,5
EML0164,CRE0055,Promotional Offer,Beauty & Fashion,14316,13814,0.248,0.053,0.0028,0.006,2709.64,1.44,True,2025-04-23,Thursday,47,True,1
EML0165,CRE0322,New Content Alert,Music & Audio Production,1454,1422,0.373,0.065,0.0057,0.0142,0.0,0.0,True,2025-10-12,Wednesday,62,True,4
EML0166,CRE0335,Product Launch,Science & Space,12718,12003,0.357,0.106,0.0082,0.0014,39897.66,8.29,True,2026-02-24,Monday,43,False,3
EML0167,CRE0321,Weekly Newsletter,Pet Care,3631,3354,0.245,0.048,0.0052,0.0011,0.0,0.0,True,2026-02-08,Tuesday,70,True,2
EML0168,CRE0054,Re-engagement,Technology & Software,12583,12542,0.22,0.047,0.0041,0.0057,0.0,0.0,True,2026-02-09,Thursday,49,False,5
EML0169,CRE0380,Promotional Offer,Parenting & Family,5920,5694,0.207,0.059,0.0061,0.0137,4670.64,6.46,False,2025-12-03,Wednesday,43,False,4
EML0170,CRE0125,Re-engagement,Science & Space,7261,7230,0.23,0.036,0.0036,0.0012,0.0,0.0,False,2026-02-10,Thursday,63,True,5
